الاسم,rating,total_ratings,img,السعر النهائي,Brand,Gender,Product Type,Character,Fragrance Family,Size,Year of Launch,Concentration,Top Notes,Middle Notes,Base Notes,Category,Ingredients,Product Color,Preferences,Makeup Type,Search Key
Khaltat Meile,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6291103883056-khaltat-blends-of-love-meile-edp-65-ml-1.jpg,575.0,Khaltat,Unisex,Perfume,Charismatic,Floral Oriental,65 ml,,Eau de Parfum,,,,,"Wildflowers, ginger, berries, sandalwood, resin, oak moss, basil",,,,
Prada Paradoxe Virtual Flower EDP,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">18 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/6/3614274000610_-_prada_-_paradoxe_virtual_flower_eau_de_parfum_30_ml_-_30_ml_-_fd.png,569.0,Prada,Women,Perfume,Sensual,Floral,50 ml,2024,Eau de Parfum,Bergamot,"Neroli, Jasmine","Ambrette, Musk",,,,,,
Caesars World Caesars Woman EDC,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/4/849017005093-caesars-world-caesars-world-caesars-woman-_w_-edc-100-ml.jpg,99.0,Caesars World,Women,Perfume,Sensual,Floral,100 ml,1988,Eau de Cologne,"Rose, Bergamot, Jasmine, African Orange Flower","Lily Of The Valley, Mimosa, Orris Root, Geranium, Tuberose","Musk, Patchouli, Sandalwood",,,,,,
Essentials N°6 For EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/2/5/25929204438-essentials-essentials-no-6-for-her-edp-50ml.png,34.0,Essentials,Women,Perfume,Sensual,Floral,50 ml,,Eau de Parfum,"Bergamot, Muguet, Fruits","Jasmine, Red Rose, Vetiver","Amber, Patchouli, Creamy Vanilla",,,,,,
Paris Collection CP1176 EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/g/s/gs1170_-_paris_collection_-_cp1170_-_100_ml.png,100.0,Paris Collection,Men,Perfume,,,100 ml,,Eau de Parfum,,,,,,,,,
Memo Paris Moon Leather,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/7/3700458611960_memo_paris_moon_leather_eau_de_parfum_75ml_1_4_.jpg,2480.0,Memo Paris,Unisex,Perfume,Extravagant,Citrus,75 ml,2016,Eau de Parfum,"Orange, grapefruit, lemon","Neroli, Clary Sage, Lemon Fibrana","Vetiver, leather, tonka beans",,"Orange, grapefruit, lemon, neroli, sage clary, lemon vibrana, vetiver, leather, tonka beans",,,,
Amado Vogue EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760239022095_-_amado_-_vogue_-_75ml_-_fd.png,840.0,Amado,Unisex,Perfume,Sensual,Floral,75 ml,2023,Eau de Parfum,"Basil, Chamomile, Sage, Peach, Cinnamon, Ylang-ylang","Geranium, Bloodstone, Jasmine Sambac, Rose, Magnolia Flowers, Tuberose","Oud, Patchouli, Vetiver, Labdanum, Oak Moss, Musk, Vanilla, Amber",,,,,,
Hatan Al Shimakh Musk EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6285756002360_-_hatan_-_-_50_ml_-_fd.png,140.0,Hatan,Men,Perfume,Charismatic,Oriental,50 ml,,Eau de Parfum,,,,,"Cardamom, Agarwood, Cloves, Musk.",,,,
Porsche Design 180 Blue EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/4/0/4013670280371-porsche-design-porsche-design-180-blue-for-men-_m_-edt-100-ml.png,450.0,Porsche,Men,Perfume,Extravagant,Aromatic,100 ml,2020,Eau de Toilette,"Watermelon, Pepper, Lemon","Lavender, Nutmeg, Clary Sage","Cashmeran, Vetiver",,,,,,
Zimaya Oud Is Great EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6290171070269_-_zimaya_-_oud_is_great_edp_-_100ml_-_fd.png,89.0,Zimaya,Unisex,Perfume,Natural,Woody,100 ml,,Eau de Parfum,"Lavender, Nutmeg, Saffron","Oud, Agarwood","Musk, Patchouli",,,,,,
