الاسم,rating,total_ratings,img,السعر النهائي,Brand,Gender,Product Type,Character,Fragrance Family,Size,Year of Launch,Concentration,Top Notes,Middle Notes,Base Notes,Category,Ingredients,Product Color,Preferences,Makeup Type,Search Key
Korloff Cuir Mythique EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760251870322_-_korloff_-_korloff_cuir_mythique_edp_100_ml_-_100_ml_-_fd.png,1116.0,Korloff,Unisex,Perfume,Classical,Leather,100 ml,2018,Eau de Parfum,"Mandarin, Pine, Juniper","Ginger, Galbanum, Iris",Leather,,,,,,
Calvin Klein Euphoria Women,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">500 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/c/a/calvin_klein_euphoria_eau_de_parfum_1.jpg,298.0,Calvin Klein,Women,Perfume,Extravagant,Fruity,50 ml,2005,Eau de Parfum,Pomegranate,"Lotus Blossom, Black Orchid","Amber, Wood",Perfume,"Pomegranate, Lotus Blossom, Black Orchid, Amber, Wood",,,,
Grasse Perfumes Oud The Palace EDP - 30 ml,"<h4 data-v-de649438="""">4.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/9/4/94616-grasse-perfume-oud-the-palace-30-ml.png,159.0,Grasse Perfumes,Unisex,Perfume,Classical,Leather,30 ml,,Eau de Parfum,"Rose Oil, Bulgarian Rose",Cinnamon,"Leather, Sandalwood",,,,,,
Marco Serussi Harmony,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760168632174_marco_serussi_harmoni_edt_100_ml_1.jpg,333.0,Marco Serussi,Men,Perfume,Charismatic,Woody Oriental,100 ml,,Eau de Toilette,Black Pepper- Cardamom- Cumin,Nutmeg- Neroli- Melon.,Patchouli- Vetiver.,,"Black Pepper, Cardamom, Cumin, Nutmeg, Neroli, Melon, Patchouli, Vetiver",,,,
Lorenzo Villoresi Uomo,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_lorenzo_villoresi_perfumes_uomo_for_unisex_eau_de_toilette_8028544100934.jpg,629.0,Lorenzo Villoresi Firenze,Men,Perfume,Extravagant,Aromatic,100 ml,1993,Eau de Toilette,"Bergamot, Petitgrain, Laurel, Lemon, Orange, Coriander, Lavender, Elemi resin","Neroli, Sage, Juniper, Clove, Pepper, Thyme","Oakmoss, Musk, Patchouli, Rosemary, Sandalwood, Vetiver, Cedarwood",,"Bergamot, Petitgrain, Laurel, Lemon, Orange, Coriander, Lavender, Elemi resin, Neroli, Sage, Juniper, Clove, Pepper, Thyme, Oakmoss, Musk, Patchouli, Rosemary, Sandalwood, Vetiver, Cedarwood","Blue,Silver",,,
Tory Burch Tory Burch,"<h4 data-v-de649438="""">4.7</h4>","<span data-v-de649438="""">3 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_tory_burch_perfumes_eau_de_parfum_for_women_eau_de_perfum_22548295700.jpg,553.0,Tory Burch,Men,Perfume,Romantic,Floral,100 ml,,Eau de Parfum,"Bergamot, Mandarin, and Lemon","Neroli, Pink Peppercorn, and Peony","Patchouli Heart, Vetiver Heart, and Cedar wood Oil'",,"Neroli,Grapefruit,Cassis,Bergamot,Peony,Tuberose,Jasmine Sambac,Vetiver, Sandalwood.","Gold,Pink",,,
Epock Genar EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6281000756102_-_epock_-_epock_genar_for_men_eau_de_parfum_50ml_-_50_ml_-_fd_1_.png,185.0,Epock,Men,Perfume,Charismatic,Oriental,50 ml,,Eau de Parfum,"Lemon, Ginger, Grapefruit","Sweet Pineapple, Cardamom, Cinnamon","Vetiver, Labdanum, Oakmoss",,,,,,
Khaltat Salang,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6291103883001-khaltat-blends-of-love-salang-edp-65-ml-1.jpg,575.0,Khaltat,Unisex,Perfume,Glamorous,Oriental,65 ml,,Eau de Parfum,The roses,The oud,Patchouli,,"Rose, Patchouli, Oud",,,,
Atelier Cologne Clementine California EDC,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/7/3700591230035_-_atelier_cologne_-_atelier_cologne_clementine_california_cologne_absolue_pure_perfume_unisex_eau_de_cologne_100ml_-_100_ml_-_fd.png,890.0,Atelier Cologne,Unisex,Perfume,Dynamic,Citrus,100 ml,2016,Eau de Cologne,"Juniper Berry, Mandarin, Clementine","Pepper, Star Anise, Basil","Sandalwood, Vetiver, Cypress",,,,,,
Guerlain Patchouli Paris EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3346470148819_-_guerlain_-_guerlain_patchouli_paris_eau_de_parfum_100ml_-_100_ml_-_fd.png,2046.0,Guerlain,Unisex,Perfume,Natural,Woody,100 ml,2024,Eau de Parfum,Aldehydes,Iris,"Vanilla, Amber, Patchouli",,,,,,
Bvlgari Omnia Golden Citrine EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/7/8/783320410888-bvlgari-bvlgari-omnia-golden-citrine-_w_-edt-65-ml.png,492.0,Bvlgari,Women,Perfume,Sensual,Floral,65 ml,2020,Eau de Toilette,"Sicilian mandarin, white peach","jasmine, ylang-ylang","Cedar, Benzoin",,,,,,
Creed Absolu Aventus EDP - 75 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/5/3508440251749-creed-creed-absolu-aventus-for-men-eau-de_parfum_75ml.png,1987.0,Creed,Men,Perfume,Dynamic,Citrus,75 ml,2023,Eau de Parfum,"Black Currant, Bergamot, Grapefruit","Cardamom, Citron, Cinnamon, Ginger","Vetiver, Patchouli, Pink Pepper",,,,,,
Ora France Princess EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/9/8/985218852144_-_ora_france_-_-_100_ml_-_fd.png,250.0,Ora France,Women,Perfume,,,100 ml,,Eau de Parfum,,,,,,,,,
Boadicea The Victorious Fortitude EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/5/0/5060475232516_-_boadicea_-boadicea_the_victorious_fortitude_women_s_eau_de_parfum_100ml-fd.png,1650.0,Boadicea,Women,Perfume,Sensual,Floral,100 ml,2018,Eau de Parfum,"Black Currant, Bergamot, Lily","Ylang-ylang, Jasmine, Gardenia",Woods,,,,,,
Guru Egos EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3700796900665-guru-guru-egos-_u_-edp-100-ml_1_.png,579.0,Guru,Unisex,Perfume,Extravagant,Fruity,100 ml,2017,Eau de Parfum,Fruity Notes,"Ylang-ylang, Jasmine","Amber, Musk, Patchouli.",,,,,,
Athal Forbidden EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6287041961253_-_athal_-_athal_forbidden_eau_de_parfum_women_-_100_ml_-_100_ml_-_fd.png,170.0,Athal,Women,Perfume,Charismatic,Oriental,100 ml,,Eau de Parfum,,,,,,,,,
La Défense Perfume No.4 EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6285897009624_-_la_d_fense_perfume_-_no.4_-_50_ml_-_fd.png,230.0,La Défense Perfume,Unisex,Perfume,Glamorous,Oud,50 ml,,Eau de Parfum,Oud,Amber,"Sandalwood, Musk",,,,,,
Saint Hilaire Private Red EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760004322443-saint-hilaire-saint-hilaire-private-red-pour-homme-_m_-edp-100-ml.png,138.0,Saint Hilaire,Men,Perfume,Extravagant,Fruity,100 ml,2018,Eau de Parfum,Lemon,Green Apple and Sea Scents,"Amber, Vetiver, Tonka Bean",,"Lemon, Green Apple, Sea Notes, Amber, Vetiver, Tonka Bean.",,,,
Caron L'Heure Vagabonde EDC,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/3/3384957210308-caron-l_heure-vagabonde-edc-v30ml.png,1050.0,Caron,Unisex,Perfume,Dynamic,Citrus,100 ml,2022,Eau de Cologne,"Ginger, Bergamot, Green Lemon",Tobacco,"Leather, Honey, Vetiver, Guaiac Wood, Patchouli",,,,,,
Marly Carlisle,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">27 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/7/3700578519009-parfums-de-marly-marly-carlisle---125-ml.png,1662.0,Parfums de Marly,Unisex,Perfume,Natural,Woody,125 ml,2015,Eau de Parfum,"Bergamot, tangerine","Violet, jasmine","Guaiac wood, patchouli, cardamom",,"Bergamot, mandarin, violet, jasmine, guaiac wood, patchouli, cardamom",Black,,,
Salvatore Ferragamo Uomo Casual Life,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">3 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_salvatore_ferragamo_uomo_casual_life_eau_de_toilette_for_men_100_ml_1.png,384.0,Salvatore Ferragamo,Men,Perfume,Charismatic,Aromatic,50 ml,2017,Eau de Toilette,"Violet Leaves, Lemon, Cardamom","Coffee, Geranium, Ambrox","Cashmere Wood, White Cedarwood, White Musk",,"Violet Leaves, Lemon, Cardanom, Coffee, Geranium, Ambrox, Cashmere Wood, White Cedarwood, White Musk",Silver,,,
Jad Khaoukh Peach Rivers of China EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281184005935-jad-jad-khaoukh-peach-rivers-of-china-edp.png,249.0,Jad,Unisex,Perfume,Extravagant,Fruity,100 ml,,Eau de Parfum,,,,,Peach,,,,
Alfred Verne Emerald Isle,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">3 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6291100603152-alfred_verne-alfred_verne_emerald_isle_u_edp_80_ml-1.jpg,192.0,Alfred Verne,Unisex,Perfume,Glamorous,Woody Oriental,80 ml,-,Eau de Parfum,"Pink Pepper, Cardamom, Saffron And Nutmeg",Geranium And Myrrh,"oud, patchouli, leather, styrax and incense.",,"Pink Pepper, Cardamom, Saffron, Nutmeg, Geranium, Myrrh, oud, patchouli, leather, styrax and incense.",,,,
Swiss Arabian Areej Al Sheila EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6295124032837-swiss-arabian-areej-al-sheila-100ml-edp.png,383.0,Swiss Arabian,Women,Perfume,Sensual,Floral,100 ml,,Eau de Parfum,"Saffron, Black Pepper, Clove Leaves","Turkish Rose Absolute, Geranium, Oud","Leather, Amber, Patchouli, Musk, Vanilla, Sandalwood",,,,,,
Shakira I Am Rock EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/4/8411061851081-shakira-shakira-i-am-rock_-_w_-edt-50-ml.png,141.0,Shakira,Women,Perfume,Sensual,Floral,50 ml,2017,Eau de Toilette,"Black Pepper, Bergamot, Green Apple","Freesia, Jasmine, Jasmine Sambac","Patchouli, Woody Notes, Vanilla",,,,,,
Le Bonheur Bois De Nuit EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6287015129757_-_le_bonheur_-_le_bonheur_bois_de_nuit-_women_-_100_ml.png,90.0,Le Bonheur,Women,Perfume,Extravagant,Fruity,100 ml,2024,Eau de Parfum,"Orange, Bergamot","Roses, Jasmine","White Musk, Vetiver, Vanilla, Patchouli",,,,,,
Datura Perfumes Magnolia EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/0/3079047654825_-_datura_perfumes_-_-_80_ml_-_fd.png,282.0,Datura Perfumes,Unisex,Perfume,Romantic,Floral,80 ml,,Eau de Parfum,,,,,"Iris, Jasmine",,,,
Gucci Guilty Love Edition EDT,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/3/6/3614225299636-gucci-gucci-guilty-love-edition-pour-homme-_m_-edt-90-ml.png,469.0,Gucci,Men,Perfume,Extravagant,Aromatic,50 ml,2020,Eau de Toilette,"Pink pepper, Mandarin orange, Ginger, kumquat","Geranium, Rosemary, Lavender","Patchouli, Petrol, Vetiver",,,,,,
Arabiyat Mutayyam EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/3/6390902029839_-_arabiyat_-_mutayyam_edp_-_100ml_-_fd.png,53.0,Arabiyat,Unisex,Perfume,Sensual,Floral,100 ml,,Eau de Parfum,"Coconut Blossoms, Freesia, Lily Of The Valley","Woods, Jasmine","Patchouli, Sea Spray, Gourmand Notes",,,,,,
Vilhelm Parfumerie Fleur Burlesque EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760298541179-vilhelm-parfumerie-vilhelm-parfumerie-fleur-burlesque-_w_-edp-100-ml.png,1190.0,Vilhelm Parfumerie,Women,Perfume,Sensual,Floral,100 ml,2015,Eau de Parfum,"Gardenia, Jasmine",Sandalwood,Amber,,"Alcohol, Parfum, Aqua (Water), Alpha-Isomethyl Ionone, Benzyl Alcohol, Benzyl Benzoate, Benzyl Salicylate, Cinnamal, Cinnamyl Alcohol, Citral, Citronellol, Eugenol, Farnesol, Geraniol, Hexyl Cinnamal, Hydroxycitronellal, Limonene, Linalool.",,,,
Maison Maissa Vanilla Elixir Edition Blanche EDP,"<h4 data-v-de649438="""">3.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3770014214195-maison-ma_ssa-maissa-vanilla-elixir-edition-blanche-_u_-edp-100-ml.png,779.0,Maison Maissa,Unisex,Perfume,Glamorous,Arabian,100 ml,2020,Eau de Parfum,"Lemon, Sugar, Turkish Rose, Bulgarian Rose","Lokum, White Musk","Cedar, Vanilla",,"Alcohol Denat. (SD alcohol 39-C), Parfum (Fragrance), Aqua (water), Geraniol, Citronellol, Limonene, Linalool, Citral.",,,,
Ahmed Perfume Musk & Roses EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">9 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/2/6/2640500012356_-ahmed_perfume_musk_roses.png,100.0,Ahmed Perfume,Unisex,Perfume,Sophisticated,Floral Oriental,75 ml,,Eau de Parfum,"Watermelon, Green apple, Raspberry, Peony","Coconut, Rose","Sandalwood, Cedar Oud, White Musk",,,,,,
E.G.O Premier EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760277340670-ego-premier.png,531.0,E.G.O,Women,Perfume,Dynamic,,80 ml,,Eau de Parfum,,,,,,,,,
Coach Dreams - 90 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3386460109567_coach_coach_dreams_by_coach_eau_de_parfum_90_ml_1.jpg,414.0,Coach,Women,Perfume,Extravagant,Fruity,90 ml,2020,Eau de Parfum,"Pear juice, orange","Orange, gardenia, cactus flowers","Joshua Tree, Ambroxan",,"Pear juice, orange, gardenia, cactus flowers, Joshua tree, ambroxan",,,,
Liquides Imaginaires Désert Suave EDP,"<h4 data-v-de649438="""">4.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760303360108-liquides-imaginaires-liquides-imaginaires-les-eaux-imaginaires-d_sert-suave-50-ml.png,630.0,Liquides Imaginaires,Unisex,Perfume,Romantic,Floral,50 ml,2018,Eau de Parfum,,,,,"Rose, orange, cedar, cardamom, sesame, orange blossom, dates",,,,
Angry Birds Red Bird EDT,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/6/6/663350059496-angry-birds-angry-birds-red-bird-cool-cologne-200ml.png,22.0,Angry Birds,Kids,Perfume,Natural,Fruity,200 ml,,Eau de Toilette,Fruits,Tangerines,,,,,,,
Swiss Arabian Kenzy,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",https://assets.goldenscent.com/catalog/product/6/2/6295124026492_swiss_arabian_kenzy_100ml_2.jpg,98.0,Swiss Arabian,Unisex,Perfume,Extravagant,Fruity,100 ml,,Eau de Parfum,"Bergamot, Lemon, Orange","Pomegranate, Grapes, Apricot, Fig","Vanilla, Musk, Amber",,"Bergamot, Lemon, Orange, Pomegranate, Grapes, Apricot, Fig, Vanilla, Musk, Amber",,,,
Elizabeth Arden White Tea Mandarin Blossom,"<h4 data-v-de649438="""">3.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/5/85805574024-elizabeth-arden-white-tea-mandarin-blossom-eau-de-toilette-spray-1.jpg,231.0,Elizabeth Arden,Women,Perfume,Sophisticated,Woody Oriental,100 ml,,Eau de Toilette,"Mandarin, Bergamot, Lemon, Exotic Fruits","Orange Flower, Jasmine, Neroli, White Tea","Luminous Musks, Cedarwood, Osmanthus, Ambrox",,"Mandarin, Bergamot, Lemon, Exotic Fruits, Orange Flower, Jasmine, Neroli, White Tea, Luminous Musks, Cedarwood, Osmanthus, Ambrox",,,,
Jo Malone Honeysuckle & Davana EDC,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">9 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/9/690251063284-jo-malone-jo-malone-honeysuckle-_-davana-_w_-cologne-100-ml.png,899.0,Jo Malone,Women,Perfume,Sensual,Floral,100 ml,2018,Eau de Cologne,Davana,"Honeysuckle, Rose",Moss,,,,,,
Chanel N° 19,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">4 Ratings</span>",//assets.goldenscent.com/catalog/product/3/1/3145891194708-chanel-no.19-_l_-edt-100-ml-1.jpg,699.0,Chanel,Women,Perfume,Romantic,Floral,100 ml,1971,Eau de Toilette,"Green Notes, Bergamot, Neroli","Ylang-Ylang, Lily-of-the-Valley, Rose, Narcissus, Iris","Leather, Oak Moss, Sandalwood, Vetiver",,"Green Notes, Bergamot, Neroli, Ylang-Ylang, Lily-of-the-Valley, Rose, Narcissus, Iris, Leather, Oak Moss, Sandalwood, Vetiver",,,,
Oud Asalah Amber Giovanni Parfum,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6287040475645_-_oud_asalah_-_-_50_ml_-_fd.png,345.0,Oud Asalah,Unisex,Perfume,Charismatic,Oriental,50 ml,,Parfum,,,,,"Amber, Sandalwood, Cardamom",,,,
Serai Mirage EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/628900661647_-_serai_-_-_100_ml_-_fd.png,198.0,Serai,Unisex,Perfume,Charismatic,Oriental,100 ml,,Eau de Parfum,,,,,"Musk, Vanilla, Amber, Orange Blossom.",,,,
Caron Pour Un Homme De Caron Sport,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">5 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_caron_perfumes_pour_un_homme_de_caron_sport_for_men_eau_de_toilette_3387952000119.jpg,424.0,Caron,Men,Perfume,Extravagant,Citrus,125 ml,2015,Eau de Toilette,"Citrus fruits, lemon verbena, grapefruit, mandarin, lavender","Ginger, nutmeg, cedar","White musk, benzoin, amber, tonka bean",,"Citruses , grapefruit , italian manderin , lemon verbena , lavender , ginger , notmeg , verginian cedar , tonka bean , benzoin , ambergris , white musk .","Green,Silver",,,
Gucci Winter's Spring EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/6/3614227767782-gucci-gucci-winter_s-spring-unisex-eau-de-parfum-100ml.png,1550.0,Gucci,Unisex,Perfume,Sensual,Floral,100 ml,2019,Eau de Parfum,,,,,"Pepper, Musk, Mimosa",,,,
Jo Malone Orange Blossom EDC,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/9/690251006496-jo-malone-jo-malone-orange-blossom-_u_-cologne-100-ml.png,899.0,Jo Malone,Unisex,Perfume,Sensual,Floral,100 ml,2003,Eau de Cologne,Tangerine Blossom,"Water Lily, Purple, Orange Blossoms","Vetiver, Iris",,"Tangerine Blossom, Water Lily, Purple, Orange Blossoms, Vetiver, Iris",,,,
Asghar Ali Fadail EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/1/a/1aa2452-asghar-ali-fadail-edp-100ml.png,265.0,Asghar Ali,Unisex,Perfume,Charismatic,Floral Oriental,100 ml,,Eau de Parfum,"Lavandin, Cardamom, Saffron","Rose, Geranium, Orange Blossom","Oud, Sandalwood, Amber",,,,,,
Floris London Chypress EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/8/886266591144-floris-london-floris-london-chypress---100-ml.png,899.0,Floris London,Unisex,Perfume,Romantic,Floral,100 ml,2017,Eau de Toilette,"Neroli, Bergamot, Lemon, Sweet Orange, Jasmine","Ylang-ylang, Rose, Osmanthus","Vanilla, Musk, Patchouli, Amber.",,,,,,
Abercrombie & Fitch Authentic Moment EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/5/85715169624-abercrombie-_-fitch-a_f-authentic-moment-women-edp-100ml.png,338.0,Abercrombie & Fitch,Women,Perfume,Sensual,Floral,100 ml,2019,Eau de Parfum,"Red fruits, Orange, Rhubarb","Jasmine, Rose","Leather, Musk, Patchouli, Cedar, Ambrox",,,,,,
Carolina Herrera VIP 212 Black,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">89 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/2/1/212vip_black_edp_for_men.png,525.0,Carolina Herrera,Men,Perfume,Extravagant,Aromatic,100 ml,2017,Eau de Parfum,"Absinthe, Anise, Fennel",Lavender,"Musk, Black Vanilla Husk",,"Absinthe, Anise, Fennel, Lavender, Musk, Black, Vanilla, Husk",Black,,,
Guerlain Shalimar Souffle,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">6 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3346470116665_guerlain_shalimar_souffle_de_parfum_edp_90_ml_1.jpg,690.0,Guerlain,Women,Perfume,Sophisticated,Floral Oriental,90 ml,2019,,"Bergamot, lemon, Mandarin orange","Jasmine sambac, orange Blossom","Indian Vanilla, Tahitian Vanilla, White Musk",,"Bergamot, lemon, Mandarin orange,Jasmine sambac, orange Blossom, Indian Vanilla, Tahitian Vanilla, White Musk",,,,
Vingtaine Essence Elan EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/4/8/487103649_-_vingtaine_essence_-_-_100_ml.png,129.0,Vingtaine Essence,Unisex,Perfume,Charismatic,Oriental,100 ml,,Eau de Parfum,,,,,"Spices, Woods, White Flowers, Amber.",,,,
Anjelina Angelina Jolie Taurus EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/4/6491106671098-anjelina-_-_---_.png,99.0,Anjelina,Women,Perfume,,,75 ml,,Eau de Parfum,,,,,,,,,
Jad Grow Vanilla Marilyn EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6281184005119-jad-jad-grow-vanilla-marilyn.png,249.0,Jad,Unisex,Perfume,Extravagant,Soft Oriental,100 ml,,Eau de Parfum,,,,,"Vanilla, Pear, Freesia, Musk",,,,
Al Qasim Oud Campi Parfum,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6283333555551_-_al_qasim_oud_-_campi_-_100_ml.png,239.0,Al Qasim Oud,Unisex,Perfume,Charismatic,Oriental,100 ml,,Parfum,"Cardamom, Cinnamon","Saffron, Tonka Bean","Tobacco, Vanilla, Patchouli",,,,,,
