الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,المكونات,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,اللون,سنة الإصدار,Category,نوع المكياج,مفتاح البحث
فرزاتشي ايروس أو دو تواليت - 100 مل,514,فرزاتشي,رجالي,عطور,حيوية,أروماتيك,100 مل,النعناع، التفاح الأخضر، الليمون، التونكا، زهور إبره الراعي، أمبروكسان، فانيليا مدغشقر، نجيل الهند، طحلب البلوط، أخشاب الأرز من فرجينيا، أخشاب الأرز الأطلسي.,أو دو تواليت,نعناع، تفاح أخضر، ليمون,التونكا، زهور إبره الراعي، أمبروكسان,فانيليا مدغشقر، نجيل الهند، طحلب البلوط، أخشاب الأرز من فرجينيا، أخشاب الأرز الأطلسي.,,2012,عطور,,
جيرلان إنسولينس أو دو برفيوم,499,جيرلان,نسائي,عطور,حسية,زهرية ناعمة,75 مل,التوت الأحمر، السوسن، البودرة، البنفسج,أو دو برفيوم,,,,,2017,,,
مجموعة نيو مان - 4 قطع,590,مجموعات حصرية,رجالي,مجموعات,,,,,,,,,,,,,
فرزاتشي ديلان بلو للرجال - 100 مل,439,فرزاتشي,رجالي,عطور,محبة للطبيعة,أروماتيك,100 مل,برغموت كالابريا، الجريب فروت، أوراق التين، أوراق البنفسج، خشب البردى، الباتشولي العضوي، الفلفل الأسود، أمبروكس، المسك المعدني، حبوب التونكا، البخور، الزعفران.,أو دو تواليت,برغموت كالابريا، الجريب فروت، أوراق التين,أوراق البنفسج، خشب البردى، الباتشولي العضوي، الفلفل الأسود، أمبروكس,المسك المعدني، حبوب التونكا، البخور، الزعفران.,أزرق,2016,,,
بارفيوم دو مارلي ديلينا,1386,بارفيوم دو مارلي,نسائي,عطور,رومانسية,زهرية,75 مل,البرغموت، الراوند، الليتشي، جوزة الطيب، الورد التركي، الفاوانيا، البتاليا، الفانيليا، المسك، الكاشميران، نجيل هايتي، خشب الأرز، البخور.,أو دو برفيوم,البرغموت، الراوند، الليتشي، جوزة الطيب,الورد التركي، الفاوانيا، البتاليا، الفانيليا، المسك,الكاشميران، نجيل هايتي، خشب الأرز، البخور.,وردي,2017,,,
روبرتو كافالي باراديسو أزورو - 75 مل,317,روبرتو كافالي,نسائي,عطور,رومانسية,زهرية,75 مل,نضارة الحمضيات، البرغموت، الخزامى، الياسمين البري، بتلات، السرو، الكشمير.,أو دو برفيوم,نضارة الحمضيات، البرغموت، الخزامى,الياسمين البري، بتلات,السرو، الكشمير.,,2015,عطور,,
اف سان لوران ليبر,646,اف سان لوران,نسائي,عطور,رومانسية,زهرية,90مل,برتقال الماندرين، لافندر، كشمش أسود، بتيتغرين، ياسمين، زهر البرتقال، فانيليا، خشب الأرز، أمبرجيس، مسك,أو دو برفيوم,برتقال الماندرين، لافندر، كشمش أسود، بتيتغرين,ياسمين، زهر البرتقال,فانيليا، خشب الأرز، أمبرجيس، مسك,,2019,,,
كاندي أديكت مجموعة ترند لعطور الشعر - 6 قطع,249,كاندي أديكت,رجالي/نسائي,مجموعات,,,,,,,,,,,,,
شوبارد عود ملكي - 80 مل,379,شوبارد,رجالي/نسائي,عطور,متألقة,شرقية,80 مل,الجريب فروت، اللافندر، أرتميسيا، الجلود، التوابل، التبغ، العنبر، الأخشاب الداكنة، العود,أو دو برفيوم,الجريب فروت، اللافندر، أرتميسيا,الجلود، التوابل، التبغ,العنبر، الأخشاب الداكنة، العود,,2012,عطور العود,,
مجموعة الرجل الراقي - 5 قطع,698,مجموعات حصرية,رجالي,مجموعات,,,,,,,,,,,,,
