الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,المكونات,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,اللون,سنة الإصدار,Category,نوع المكياج,مفتاح البحث
دولتشي آند غابانا لايمبيراتريس 3 بور فيم,293,دولتشي آند غابانا,نسائي,عطور,رومانسية,زهرية,100 مل,الفلفل الوردي، الكيوي، الراوند، الياسمين، زهر بخور مريم، البطيخ، المسك، خشب الصندل، أشجار الليمون.,أو دو تواليت,الفلفل الوردي، الكيوي، الراوند,الياسمين، زهر بخور مريم، البطيخ,المسك، خشب الصندل، أشجار الليمون.,وردي,2009,,,
مانسيرا ريد توباكو,495,مانسيرا,رجالي/نسائي,عطور,جذابة,شرقية,120 مل,البرغموت، الكشمش، جوز الهند، الخوخ الأبيض، ألورد البلغاري، البنفسج، الياسمين، الفانيلا، الأبيض المسك,أو دو برفيوم,زعفران، قرفة، بخور، جوز الطيب، الخوخ الأبيض، التفاح الأخضر,باتشول، ياسمين,تبغ، كهرمان، رائحة الأخشاب، نجيل الهند، فانيليا، مسك أبيض,"أسود,أحمر",2017,,,
بارفيوم دو مارلي لايتون,1386,بارفيوم دو مارلي,رجالي/نسائي,عطور,عصرية,زهرية شرقية,125 مل,البرغموت، الخزامى، التفاح، اليوسفي، البنفسج، الياسمين، زهور إبرة الراعي، خشب الغاياك، الباتشولي، خشب الصندل، الحبهان، الفانيليا، الفلفل.,أو دو برفيوم,البرغموت، الخزامى، التفاح، اليوسفي,البنفسج، الياسمين، زهور إبرة الراعي,خشب الغاياك، الباتشولي، خشب الصندل، الحبهان، الفانيليا، الفلفل.,أزرق,2016,عطور,,
ديور جوي إنتنس,559,ديور,نسائي,عطور,رومانسية,زهرية,50 مل,البرغموت، زهر البرتقال، الورد، الياسمين، خشب الصندل، المسك الأبيض، فانيلا، حبوب التونكا.,أو دو برفيوم,البرغموت، زهر البرتقال,الورد، الياسمين,خشب الصندل، المسك، حبوب التونكا، فانيلا,,2018,,,
كاندي أديكت مجموعة بيوني بيتش تريو - أو دو برفيوم 50 مل + عطر للشعر 50 مل + زيت عطري 10 مل,149,كاندي أديكت,نسائي,مجموعة هدايا,أنثوية,"زهرية,فاكهية",,البرغموت، الزبيب الأسود، الخوخ، الفاوانيا، الياسمين، خشب الورد، المسك، خشب الأرز، العنبر,,البرغموت، الزبيب الأسود، الخوخ,الفاوانيا، الياسمين، خشب الورد,المسك، خشب الأرز، العنبر,,2024,,,
دولتشي أند غابانا كيه,264,دولتشي آند غابانا,رجالي,عطور,محبة للطبيعة,خشبية,50 مل,الليمون الإيطالي، العرعر، الهيل، البرتقال الأحمر، المريمية، إبرة الراعي، اللافندين، حليب التين، خشب الأرز، نجيل الهند، الباتشولي، زيت سيبريول,أو دو برفيوم,الليمون الإيطالي، العرعر، الهيل، البرتقال الأحمر,المريمية، إبرة الراعي، اللافندين، حليب التين,خشب الأرز، نجيل الهند، الباتشولي، زيت سيبريول,,2020,,,
مجموعة برايفت - 3 قطع,493,مجموعات حصرية,نسائي,مجموعات,,,,,,,,,,,,,
فيكتور أند رولف فلاور بومب,394,فيكتور اند رولف,نسائي,عطور,أنثوية,زهرية شرقية,50 مل,البارغموت، الشاي، الأوثامنتوس، الياسمين، زهرة البرتقال الأفريقي، فريزيا، الورد والأوركيدا، المسك والباتشولي,أو دو برفيوم,البارغموت، الشاي، الأوثامنتوس,الياسمين، زهرة البرتقال الأفريقي، فريزيا، الورد والأوركيدا,المسك والباتشولي,,2005,عطور,,
اف سان لوران سوبريم بوكيه,1099,اف سان لوران,نسائي,عطور,متألقة,"زهرية,فاكهية",75 مل,البرغموت ، الفلفل الوردي ، زهرة اليلانغ يلانغ ، نبات مسك الروم ، العنبر ، نفحات خشبية ، الباتشولي.,أو دو برفيوم,,,,أصفر,2013,,,
بربري ماي بربري أو دو برفيوم,484,بربري,نسائي,عطور,أنثوية,زهرية,50 مل,البازلاء الحلوة ، البرغموت ، الماندرين ، الجريب فروت ، الليمون ، باشن فروت ، الخوخ ، الغردينيا ، الباتشولي ، الورد,أو دو برفيوم,البازلاء الحلوة، الليمون والحمضيات,ابرة الراعي، فريزيا، سفرجل، باشن فروت,باتشول، ورد دمشقي، وردة الملفوف,,2014,عطور,,
كاندي أديكت سانتال سيلك معطر للجسم - 100 مل,24,كاندي أديكت,رجالي/نسائي,بخاخ للجسم,محبة للطبيعة,"أروماتيك,خشبية",100 مل,الهيل، الجريب فروت، البرغموت، الياسمين، البنفسج، اللبان، السوسن، خشب الصندل، العنبر، المسك، نجيل الهند,,الهيل، الجريب فروت، البرغموت,الياسمين، البنفسج، اللبان، السوسن,خشب الصندل، العنبر، المسك، نجيل الهند,,2024,,,
كالفين كلاين ايفوريا ومن,298,كالفن كلاين,نسائي,عطور,حيوية,فاكهية,50 مل,رمان ، لوتس بلوسوم ، بلاك أوركيد ، عنبر ، خشب,أو دو برفيوم,رمان,لوتس بلوسوم ، بلاك أوركيد,عنبر ، خشب,,2005,عطور,,
مونت بلانك ليجيند,349,مونت بلانك,رجالي,عطور,ديناميكية,حمضية,100 مل,البرجموت، أوراق البنفسج، النوتات الخشبية، الياسمين، الماغنوليا، الجلود، طحلب البلوط,أو دو برفيوم,البرجموت، أوراق البنفسج,النوتات الخشبية، الياسمين، الماغنوليا,الجلود، طحلب البلوط,,2020,,,
مجموعة بلاك تاي - 3 قطع,343,مجموعات حصرية,رجالي,مجموعات,,,,,,,,,,,,,
زيرجوف إيربا بورا,1270,زيرجوف,رجالي/نسائي,عطور,حيوية,فاكهية,100 مل,البرجموت، الليمون، البرتقال الصقيلي، الفواكه، الفانيليا، العنبر، المسك,أو دو برفيوم,البرجموت، الليمون، البرتقال الصقيلي,الفواكه,الفانيليا، العنبر، المسك,,2019,,,
مونت بلانك ليدي إمبليم,373,مونت بلانك,نسائي,عطور,أنثوية,زهرية,75 مل,كشمش أحمر، المرملاد، وردة زهرية، الخوخ، باتشولي، خشب الصندل، خشب ورد باليساندر، المسك، التوت,أو دو برفيوم,كشمش أحمر، المرملاد، وردة زهرية، الخوخ,باتشولي، خشب الصندل، خشب ورد باليساندر,المسك، التوت,,2015,عطور,,
فيري إمبورتانت نوتس رقم 1 برفيوم مركز - الورد، الزعفران، زهر الفانيلا، نوتات خشبية - 100 مل,199,فيري إمبورتانت نوتس,رجالي/نسائي,عطور,,زهرية شرقية,100 مل,الكحول، عطر، ماء، هيدروكسي سيترونيلال، سيترونيلول، بولي إيثيلين جليكول ٤۰ زيت خروع مهدرج، إيجينول، ألفا-أيزو ميثيل أيونون، غيرانيول، كحول بنزيلي، بنزوات البنزيل.,برفيوم مركز,زعفران، ورد,نوتات خشبية,فانيلا، برالين,,2020,,,
كوتش فور مين,229,كوتش,رجالي,عطور,رجولية,,100 مل,اللافندر، الجريب فروت، البرتقال الذهبي، البرجموت، الكمثرى، إبرة الراعي، الكزبرة، الهيل، أخشاب العنبر، العنبر، السويدي، نجيل الهند,أو دو تواليت,اللافندر، الجريب فروت، البرتقال الذهبي، البرجموت، الكمثرى,إبرة الراعي، الكزبرة، الهيل,أخشاب العنبر، العنبر، السويدي، نجيل الهند,أسود,,,,
كوتش كوتش ومن,340,كوتش,نسائي,عطور,أنثوية,خشبية,50 مل,الكمثرى، الفلفل الوردي، التوت، بخور مريم، الجاردينيا، الورد التركي، كاشميران، خشب الصندل، المسك، السويدي,أو دو برفيوم,الكمثرى، الفلفل الوردي، التوت,بخور مريم، الجاردينيا، الورد التركي,كاشميران، خشب الصندل، المسك، السويدي,ذهبي,2017,,,
ديور ديسكوفري مجموعة هدايا - (7.5x10 مل),1499,ديور,رجالي/نسائي,مجموعة عطور,,,,,أو دو برفيوم,,,,,,,,
روبرتو كافالي نيرو اسولوتو,342,روبرتو كافالي,نسائي,عطور,عصرية,زهرية شرقية,75 مل,الأوركيد، الحمضيات، الفانيليا، الأبنوس، الأخشاب.,أو دو برفيوم,الأوركيد، الحمضيات،,فانيليا,الأخشاب، خشب الأبنوس,,2013,,,
اف سان لوران مجموعة ليبر - قطعيتن,731,اف سان لوران,نسائي,مجموعات,,,,,,,,,,,,,
فيري إمبورتانت نوتس رقم 3 برفيوم مركز - العنبر، الباتشولي، الهيل، نوتات جلدية - 100 مل,199,فيري إمبورتانت نوتس,رجالي/نسائي,عطور,,شرقية,100 مل,الكحول، عطر، ماء، هيدروكسي سيترونيلال، ألفا-أيزو ميثيل أيونون، غيرانيول، بولي إيثيلين جليكول ٤۰ زيت خروع مهدرج، ميثيل- ٢ اوكتينوات، بنزوات البنزيل، كحول بنزيلي، سيترال.,برفيوم مركز,زعفران، هيل، كزبرة,أوراق البنفسج، الياسمين، الجلود,طحلب السنديان، الباتشولي، العنبر، البخور,,2020,,,
جان بول غوتييه سكاندال,505,جان بول غوتييه,نسائي,عطور,متألقة,زهرية,50 مل,البرتقال الأحمر، الجريب فروت، العسل، نبات الجاردينيا، الباتشولي,أو دو برفيوم,البرتقال الأحمر، الجريب فروت,العسل، نبات الجاردينيا,الباتشولي,,2017,,,
جيرلان لوم آيديال,449,جيرلان,رجالي,عطور,جذابة,أروماتيك,100 مل,"برغموت، برتقال، فلفل وردي، ليمون,لوز، حبوب التونكا,جلد، خشب الأرز، نجيل الهند",أو دو برفيوم,حمضيات، إكليل الجبل، زهر البرتقال، برتقال مر,لوز، حبوب التونكا,جلد، خشب الأرز، نجيل الهند,"أسود,ذهبي",1925,,,
جيرلان سانتال رويال جيرلان,945,جيرلان,رجالي/نسائي,عطور,رومانسية,أروماتيك,125 مل,"يوسفي، هال، فلفل سيشوان، بذر اليانسون,خوخ، ورد، قرفة,خشب الصندل، جلد، عنبر، عود، مسك",أو دو برفيوم,زهر البرتقال، ياسمين,خوخ، ورد، قرفة,خشب الصندل، جلد، عنبر، عود، مسك,"أسود,ذهبي",2014,,,
فرزاتشي دايلن بلو للنساء,581,فرزاتشي,نسائي,عطور,حيوية,فاكهية,100 مل,شربات الكشمش الأسود، تفاح جراني سميث، البرسيم، شيسوليا، ورود الإغليتين، بيتاليا، روسيلفيا، الياسمين، الخوخ، الباتشولي، الستايراكس، الأخشاب البيضاء الناعمة، المسك.,أو دو برفيوم,شربات الكشمش الأسود، تفاح جراني سميث، البرسيم، شيسوليا,ورود الإغليتين، بيتاليا، روسيلفيا، الياسمين، الخوخ,الباتشولي، الستايراكس، الأخشاب البيضاء الناعمة، المسك.,"أزرق,ذهبي",2017,,,
كاندي أديكت مارشميلو ماش عطر للشعر - 50 مل,69,كاندي أديكت,نسائي,عطر للشعر,أنثوية,حلوة,50 مل,ماء، الكحول، عطر، جلسرين، أوكتوكسينول-٩، د- بانثينول، أسيتات التوكوفيرول، بوتيل هيدروكسيتولوين، بوتيل فينيل ميثيل بروبيونال، لينالول، د-ليمونين، بنزوات البنزيل، سينامات البنزيل، سيترال.,,الخوخ,مارشيملو,الفانيليا,,2023,,,
قوتشي إنتنس عود,624,قوتشي,رجالي,عطور,جذابة,شرقية,90مل,بخور ، روائح خشبية ، جلد ، عنبر ، خشب العود (العود) ، أوليبانوم,أو دو برفيوم,اللبان، عطر النار، رائحة العود والعنبر,خشب جاف، رائحة صمغ مدخن,عنبر، جلد، بخور,,2016,عطور العود,,
مجموعة أروماتك ألور - 3 قطع,639,مجموعات حصرية,رجالي,مجموعات,,,,,,,,,,,,,
فرزاتشي ايروس بارفيوم,515,فرزاتشي,رجالي,عطور,جذابة,أروماتيك,100 مل,,برفيوم مركز,,,,,2021,,,
جيفنشي جارسون مانكي أو دو برفيوم,1254,جفنشي,رجالي/نسائي,عطور,كلاسيكية,جلدية,100 مل,كحول، عطر، أكوا، ماء، إيثيل هكسيل ميثوكسيسينامات، كومارين، ثنائي إيثيل أمينو هيدروكسي بنزويل هيكسيل بنزوات، لينالول، جيرانيول، بوتيل ميثوكسيديبنزويل ميثان، بوتيلين جلايكول ديكابريلات/ ثنائي كابريت، بيهتول 7، سيترونيت/ ثنائي كابرات، بيهتول 7.,أو دو برفيوم,أوسمانثوس، الجلود,,,,2020,,,
لانكوم ايدول انتنس,552,لانكوم,نسائي,عطور,محبة للطبيعة,خشبية,75 مل,البرتقال المر، البرتقال، الياسمين، ياسمين سمباك، الياسمين المصري، المسك، حشائش الورد، الورد التركي، خشب الصندل، خشب الأرز، الفانيليا، الباتشولي، خشب الكاشمير، أكاسيا,أو دو برفيوم,البرتقال المر، البرتقال,الياسمين، ياسمين سمباك، الياسمين المصري، المسك، حشائش الورد، الورد التركي,خشب الصندل، خشب الأرز، الفانيليا، الباتشولي، خشب الكاشمير، أكاسيا,,2020,,,
كاندي أديكت بيري بي أو دو برفيوم - 50 مل,70,كاندي أديكت,نسائي,عطور,حيوية,"زهرية,فاكهية",50 مل,الكحول، عطر، ماء، لينالول، ألفا-أيزو ميثيل أيونون، هيدروكسي سيترونيلال،  ليمونين، غيرانيول، سيترونيلول، بوتيل هيدروكسيتولوين، بولي إيثيلين جليكول ٤۰ زيت خروع مهدرج، سيترال.,أو دو برفيوم,توت العليق,فريزيا,الفانيليا,,2021,,,
فرزاتشي برايت كريستال,553,فرزاتشي,نسائي,عطور,حيوية,زهرية,200 مل,الرمان، يوزو، الفاوانيا، ماغنوليا، اللوتس، العنبر، المسك، الأخشاب الحمراء.,أو دو تواليت,الرمان، يوزو،,ماغنوليا، لوتس، فاوانيا,العنبر، المسك، الأخشاب الحمراء.,,2006,,,
دولتشي آند غابانا ذا ون أو دو برفيوم للرجال,376,دولتشي آند غابانا,رجالي,عطور,محبة للطبيعة,خشبية,50 مل,الكزبرة، الريحان، الجريب فروت، الزنجبيل، زهر البرتقال، الهيل، التبغ، العنبر الحسي، خشب الأرز.,أو دو برفيوم,جريب فروت، كزبرة، ريحان,حب الهال، زنجبيل، زهر البرتقال,خشب الأرز، عنبر، تبغ,,2015,,,
مجموعة فواكه الصيف - 5 قطع,629,مجموعات حصرية,نسائي,مجموعات,,,,,,,,,,,,,
توم فورد بلاك أوركيد,904,توم فورد,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,الياسمين ، الكمأة السوداء ، الإيلنغ ، الكشمش الأسود ، الحمضيات، زهرة اوركيد سوداء،البتشولي وخشب الصندل والشوكولاتة الداكنة والبخور والعنبر ونجيل الهند والفانيليا والبلسم,أو دو برفيوم,الياسمين ، الكمأة السوداء ، الإيلنغ ، الكشمش الأسود ، الحمضيات,زهرة اوركيد سوداء,البتشولي وخشب الصندل والشوكولاتة الداكنة والبخور والعنبر ونجيل الهند والفانيليا والبلسم,,2006,عطور,,
بربري لندن,255,بربري,نسائي,عطور,أنثوية,زهرية,100 مل,روز، زهر العسل، اليوسفي، الياسمين ، كليمنتين، المسك، الباتشولي، خشب الصندل,أو دو برفيوم,كلمتنين، زهر العسل، ووردة الحديقة الإنجليزية,غاردينيا تاهيتية، ياسمين، فاوانيا، مسك,خشب الصندل الهندي، باتشولي,,2006,عطور,,
كاندي أديكت باودر مسك عطر للشعر - 50 مل,69,كاندي أديكت,رجالي/نسائي,عطر للشعر,حسية,زهرية شرقية,50 مل,الماندرين، البرغموت، الزعفران، اليلانغ-يلانغ، الورد، الياسمين، الباتشولي، البنفسج، العنبر، اللوز، المسك,,الماندرين، البرغموت، الزعفران,اليلانغ-يلانغ، الورد، الياسمين,الباتشولي، البنفسج، العنبر، اللوز، المسك,,2023,,,
لاكوست أو دو لاكوست إل 12.12 بلانك,269,لاكوست,رجالي,عطور,محبة للطبيعة,أروماتيك,100 مل,إكليل الجبل، الحبهان، الجريب فروت، الإيلنغ، مسك الروم، أخشاب الأرز من فرجينيا، الجلد، جلد الغزال، نجيل الهند.,أو دو تواليت,إكليل الجبل، الحبهان، الجريب فروت,الإيلنغ، مسك الروم,أخشاب الأرز من فرجينيا، الجلد، جلد الغزال، نجيل الهند.,,2011,عطور,,
فيكتور اند رولف سبايس بومب اكستريم,459,فيكتور اند رولف,رجالي,عطور,,,50 مل,الكراوية، الخزامى، الفلفل الأسود، التبغ، والفانيليا,أو دو برفيوم,,,,,,عطور,,
فان كليف آند آربيلز بويس دور,825,فان كليف اند اربيلس,رجالي/نسائي,عطور,أنثوية,زهرية ناعمة,75 مل,الفلفل الأسود و الاتفاقيات المعدنية، أخشاب الأرز، الفانيليا، التبغ و اللوز، التونكا، المسك و خشب الساج.,أو دو برفيوم,الفلفل الأسود و الاتفاقيات المعدنية.,أخشاب الأرز، الفانيليا، التبغ و اللوز.,التونكا، المسك و خشب الساج.,أسود,2017,,,
بربري بودي,579,بربري,نسائي,عطور,متألقة,زهرية,85 مل,الورد، المسك، خشب الصندل، العنبر,أو دو برفيوم,أوراق أفسنتين الخضراء، الخوخ والفريزيا,ورد، السوسن,خشب الصندل، كشميران، مسك، عنبر وفانيليا,,2011,عطور,,
مجموعة الفالنتاين - قطعتان,259,ذا فاينيست,رجالي/نسائي,مجموعات,,,,,,,,,,,,,
ذا فاينيست كشمير وود أو دو برفيوم - 100 مل,99,ذا فاينيست,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,الفلفل الوردي، العود، المسك الأبيض,أو دو برفيوم,الفلفل الوردي,العود,المسك الأبيض,,2023,,,
جيرلان مون جيرلان انتينس أو دو برفيوم,687,جيرلان,نسائي,عطور,عصرية,شرقية خشبية,100 مل,اللافندر، الماندرين، البرغموت، الفانيليا التاهيتي، مدغشقر الفانيليا، السوسن، الياسمين السامباكي، الورد، الكومارين، الباتشولي، عرق السوس، البنزوين، خشب الصندل الأسترالي، المسك الأبيض.,أو دو برفيوم,اللافندر، الماندرين، البرغموت,الفانيليا التاهيتي، مدغشقر الفانيليا، السوسن، الياسمين السامباكي، الورد,الكومارين، الباتشولي، عرق السوس، البنزوين، خشب الصندل الأسترالي، المسك الأبيض.,,2019,,,
دنهل آيكون,392,دنهل,رجالي,عطور,جذابة,عود,100 مل,"برتقال اليوسفي، خشب البتولا، فلفل أسود,هال، خزامى بروفانس، مريمية، توت العرعر,سوسن، عود، نجيل الهند، جلد، طحلب البلوط",أو دو برفيوم,برغموت إيطالي، جوهر زهر البرتقال، فلفل أسود، حبوب صغيرة,هال، خزامى بروفانس، مريمية، توت العرعر,سوسن، عود، نجيل الهند، جلد، طحلب البلوط,,2015,عطور,,
سوسبيرو فيبراتو أو دو برفيوم,1426,سوسبيرو,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,,أو دو برفيوم,الجريب فروت، البرجموتـ الياسمين، الماجنوليا,الأعشاب الخضراء، البودرة، الزنجبيل,جذور السوسن، العنبر، الباتشولي، أخشاب الأرز، المسك,,2022,,,
إيلي صعب لو بارفيوم  إن وايت,497,ايلي صعب,نسائي,عطور,أنثوية,زهرية,50 مل,الماندارين، فواكه حمراء، الياسمين، زهر البرتقال، المسك الأبيض، الباتشولي,أو دو برفيوم,الماندارين، الفواكه الحمراء,الياسمين، زهر البرتقال,المسك الأبيض، الباتشولي,"أبيض,ذهبي",2018,,,
هو أمآي جست فلاي رذاذ عطري للجسم والملابس - 100 مل,99,هو أمآي,رجالي/نسائي,عطر للشعر والجسم,محبة للطبيعة,"فاكهية,خشبية",100 مل,جريب فروت، اوريس، خشب الأرز,,جريب فروت,اوريس,خشب الأرز,,2023,,,
اجنر ديبيوت,311,اجنر,نسائي,عطور,محبة للطبيعة,فاكهية,100 مل,"براعم البرتقال، برقوق، يوسفي، ليمون حلو,براعم برتقال، زنبق الماء، ياسمين، بذور عباد الشمس ,بتشول، سيدر، فانيلا، مسك أبيض، إيفرينا خوخية",أو دو برفيوم,ليمون حلو، يوسفي، جريب فروت، تفاح اخضر، بتيت جرين,براعم برتقال، زنبق الماء، ياسمين، بذور عباد الشمس,بتشول، سيدر، فانيلا، مسك أبيض، إيفرينا خوخية,,2013,عطور,,
مجموعة الجوكر- 3 قطع,249,مجموعات حصرية,رجالي,مجموعات,,,,,,,,,,,,,
اف سان لوران ليبر لو بارفيوم,575,اف سان لوران,نسائي,عطور,حسية,زهرية,50 مل,,برفيوم مركز,الحبوب الدقيقة، الكشمش الأسود، اللافندر، الماندرين,الياسمين، زهور البرتقال، اللافندر,الأرز، العنبر، المسك، الفانيليا,,2022,,,
فان كليف اند اربيلس كوليكشن إكسترودينير بوا دي أماند,825,فان كليف اند اربيلس,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,75 مل,الليمون، اللوز، خشب الأرز، خشب للوز، المسك والفانيليا,أو دو برفيوم,الليمون، اللوز,خشب الارز، خشب اللوز,المسك، الفايليا,,,,,
شوبارد هابي سيبريت,237,شوبارد,نسائي,عطور,حيوية,فاكهية,75 مل,التوت، البرتقال، زهور العسل، أوسمانثوس، أخشاب الكاشمير، المسك، العنبر,أو دو برفيوم,التوت، البرتقال,زهور العسل، أوسمانثوس,أخشاب الكاشمير، المسك، العنبر,,2007,,,
كاندي أديكت مجموعة بيري بي تريو - أو دو برفيوم 50 مل + عطر للشعر 50 مل + زيت عطري 10 مل,149,كاندي أديكت,نسائي,مجموعة هدايا,حيوية,"زهرية,فاكهية",,توت العليق، فريزيا، الفانيليا,,توت العليق,فريزيا,الفانيليا,,2024,,,
جيفنشي آنج أو ديمون لو سيكرت,602,جفنشي,نسائي,عطور,ديناميكية,خضراء,100 مل,البرتقال، الكرز، الجريب فروت، أوراق الشاي، الليمون، هيديون، الورد، الياسمين، الزنبق المائي، الفاونيا، الفانيليا، أخشاب العنبر، المسك الأبيض، الأخشاب البيضاء، الباتشولي,أو دو برفيوم,البرتقال، الكرز، الجريب فروت، أوراق الشاي، الليمون,هيديون، الورد، الياسمين، الزنبق المائي، الفاونيا,الفانيليا، أخشاب العنبر، المسك الأبيض، الأخشاب البيضاء، الباتشولي,,2014,,,
لانكوم ايدول اورا أو دو برفيوم,548,لانكوم,نسائي,عطور,محبة للطبيعة,خشبية,100 مل,,أو دو برفيوم,الملح، الورد,الياسمين,المسك، الفانيليا,,2021,,,
مجموعة ليدي,875,مجموعات حصرية,نسائي,مجموعات,,,,,,,,,,,,,
فان كليف أند أربيلز روز روج,825,فان كليف اند اربيلس,رجالي/نسائي,عطور,جذابة,زهرية شرقية,75 مل,الكشمش الأسود، الفلفل الوردي، البرجموت، الورد، نجيل الهند، توت العليق، المسك، الكاكاو، الباتشولي، البنزوين، الفانيليا,أو دو برفيوم,الكشمش الأسود، الفلفل الوردي، البرجموت,الورد، نجيل الهند، توت العليق,المسك، الكاكاو، الباتشولي، البنزوين، الفانيليا,,2018,,,
جان بول غوتييه لي بو أو دو برفيوم,625,جان بول غوتييه,رجالي,عطور,محبة للطبيعة,خشبية,125 مل,,أو دو برفيوم,الزنجبيل، السرو، السوسن، الأناناس,الأخشاب، جوز الهند,العنبر، أحجار العنبر، أخشاب الصندل، حبوب التونكا,,2023,,,
رمال بخور العنبر والزعفران - 60 جم,119,رمال,,بخور,,شرقية,,أغار عود، العنبر، الورد، الزعفران، الألدهيدات، نوتات خشبية,,أغار عود، العنبر، الورد، الزعفران,الألدهيدات,نوتات خشبية,,2020,,,
شانيل شانس أو تندر,557,شانيل,نسائي,عطور,محبة للطبيعة,زهرية,50 مل,الجريب فروت، الياسمين، العنبر، خشب الأرز، زهور السوسن، المسك الابيض,أو دو تواليت,جريب فروت,الياسمين، الصفير,خشب الساج، زهور السوسن، عنبر، باتشولي، نجيل الهند، المسك الأبيض.,,2010,عطور,,
اف سان لوران سينما,723,اف سان لوران,نسائي,عطور,,زهرية ناعمة,90مل,اللوز، الفاوانيا، زهرة النرجس، الياسمين، العنبر، المسك، الفانيليا,أو دو برفيوم,,,,,,عطور,,
زيرجوف كازوماراتي لا توسكا,1410,زيرجوف,نسائي,عطور,أنثوية,زهرية,100 مل,ورق زهرة البنفسج، الأوكالبتوس، المسك، الباتشولي، الماندرين الأخضر، الليمون الإيطالي، الورد، العنبر، الفانيليا,أو دو برفيوم,,,,بنفسجي,2015,عطور,,
إسكادا ماجنيتزم,220,اسكادا,نسائي,عطور,جذابة,شرقية,50 مل,الأناناس، الكشمش الأسود، الشمام، التوت الأحمر، القرفة الصينية، الليتشي، زهور السوسن، أوراق خضراء، فريزيا، ريحان، ياسمين، كراويه، زنابق الوادي، الورد، براعم اللوز، أخشاب الصندل، العنبر، الباتشولي، المسك، الجاوي، الكاراميل، نجيل الهند، الفانيليا,أو دو برفيوم,الأناناس، الكشمش الأسود، الشمام، التوت الأحمر، القرفة الصينية، الليتشي,زهور السوسن، أوراق خضراء، فريزيا، ريحان، ياسمين، كراويه، زنابق الوادي، الورد، براعم اللوز,أخشاب الصندل، العنبر، الباتشولي، المسك، الجاوي، الكاراميل، نجيل الهند، الفانيليا,,2003,عطور,,
مجموعة الانتعاش - 4 قطع,674,مجموعات حصرية,رجالي,مجموعات,,,,,,,,,,,,,
فيري إمبورتانت نوتس رقم 6 برفيوم مركز - البرغموت، زهر الكرز، المسك الأبيض، نجيل الهند - 100 مل,199,فيري إمبورتانت نوتس,رجالي/نسائي,عطور,حسية,"زهرية,فاكهية,الشيبير",100 مل,البرغموت، الزعتر، زهر البرتقال، زهر الكرز، الياسمين، الشاي، المسك الأبيض، الهليوتروب، نجيل الهند، الفانيليا,برفيوم مركز,البرغموت، الزعتر، زهر البرتقال,زهر الكرز، الياسمين، الشاي,المسك الأبيض، الهليوتروب، نجيل الهند، الفانيليا,,2023,,,
جيفنشي جينتل مان,371,جفنشي,رجالي,عطور,حيوية,"أروماتيك,خشبية",50 مل,"يانسون نجمي، إيليمي، برغموت، ليمون، فلفل,,",أو دو برفيوم,,,,"شفاف,أسود",2003,,,
هوجو بوس بوس بوتيلد,402,هيوجو بوس,رجالي,عطور,جذابة,خشبية,100 مل,البرغموت، القرفة، خشب الأرز، خشب الصندل، نجيل الهند، خشب الزيتون,أو دو تواليت,,,,,1998,عطور,,
توم فورد أومبر ليذر برفيوم,1066,توم فورد,رجالي/نسائي,عطور,كلاسيكية,جلدية,100 مل,,برفيوم مركز,الهيل,الياسمين، الجلود,الباتشولي، الطحلب، العنبر,,,,,
مانسيرا سيدرا بويز,379,مانسيرا,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,120 مل,توابل، كشمش أسود، ليمون، برغموت، الياسمين، الباتشولي، زهر الفواكه، الفانيليا، المسك الأبيض، الجلد، الأرز، خشب الصندل، الطحلب.,أو دو برفيوم,توابل، كشمش أسود، ليمون، برغموت,الياسمين، الباتشولي، زهر الفواكه,الفانيليا، المسك الأبيض، الجلد، الأرز، خشب الصندل، الطحلب.,ذهبي,2011,عطور,,
فيري إمبورتانت نوتس رقم 5 أو دو برفيوم - الزعفران، الخشب الكشميري، خشب الغاياك، نوتات جلدية - 100 مل,199,فيري إمبورتانت نوتس,رجالي/نسائي,عطور,جذابة,"خشبية,جلدية",100 مل,الجريب فروت، الزعفران، نوتات جلدية، نبات السيبريول، الورد، خشب الغاياك، خشب الأرز، الفانيليا، خشب الصندل، الخشب الكشميري,أو دو برفيوم,الجريب فروت، الزعفران,نوتات جلدية، نبات السيبريول، الورد، خشب الغاياك,خشب الأرز، الفانيليا، خشب الصندل، الخشب الكشميري,,2022,,,
مونت بلانك ليجند نايت,393,مونت بلانك,رجالي,عطور,جذابة,أروماتيك,100 مل,البرجموت، المريمية، الهيل، النعناع، الأرز، الخزامى، البنفسج، التفاح، راتنج التنوب، نجيل الهند، الفانيلا السوداء، أجيكالاوود، الباتشولي،المسك,أو دو برفيوم,البرجموت، المريمية المتصلبة، النعناع، الهيل,التفاح، التنوب، الأرز، الخزامى، البنفسج,نجيل الهند، الفانيلا السوداء، أجيكالاوود، الباتشولي، المسك,"أسود,بني",2017,,,
مانسيرا مجموعة الذهب الأحمر,814,مانسيرا,رجالي/نسائي,مجموعات,,,,,,,,,,,,,
