الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,سنة الإصدار,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,Category,المكونات,اللون,النوتات العُليا,النوتات المتوسطة,النوتات القاعدية,التركيبة,نوع المكياج,مفتاح البحث
كورلوف كوير ميثيك أو دو برفيوم,1116,كورلوف,رجالي/نسائي,عطور,كلاسيكية,جلدية,100 مل,2018,أو دو برفيوم,الماندرين، الصنوبر، العرعر,الزنجبيل، الجلابانوم، السوسن,الجلود,,,,,,,,,
كالفين كلاين ايفوريا ومن,298,كالفن كلاين,نسائي,عطور,حيوية,فاكهية,50 مل,2005,أو دو برفيوم,رمان,لوتس بلوسوم ، بلاك أوركيد,عنبر ، خشب,عطور,رمان ، لوتس بلوسوم ، بلاك أوركيد ، عنبر ، خشب,,,,,,,
قراس للعطور عود ذا بالاس أو دو برفيوم - 30 مل,159,قراس للعطور,رجالي/نسائي,عطور,كلاسيكية,جلدية,30 مل,,أو دو برفيوم,زيت الورد، الورد البلغاري,القرفة,الجلود، أخشاب الصندل,,,,,,,,,
ماركو سيروسي هارموني,333,ماركو سيروسي,رجالي,عطور,جذابة,شرقية خشبية,100 مل,,أو دو تواليت,فلفل الأسود، هيل، كمون.,جوزة الطيب، زهر البرتقال، شمام,باتشولي، نجيل الهند.,,الفلفل الأسود، هيل، كمون، جوزة الطيب، زهر البرتقال، شمام، باتشولي، نجيل الهند,,,,,,,
لورينزو فيلوريسي أومو,629,لورينزو فيلوريسي فيرنزي,رجالي,عطور,حيوية,أروماتيك,100 مل,1993,أو دو تواليت,أوراق الغار، البتيتغرين، البرغموت، الليمون الأمالفي، البرتقال، الكزبرة، اللافندر، إيليمي,العرعر، المريمية، زهر البرتقال، القرنفل، الفلفل، الزعتر,خشب الصندل، الباتشولي، المسك، نجيل الهند، طحلب السنديان، خشب الورد البرازيلي، خشب الأرز، إكليل الجبل.,,أوراق الغار، البتيتغرين، البرغموت، الليمون الأمالفي، البرتقال، الكزبرة، اللافندر، إيليمي، العرعر، المريمية، زهر البرتقال، القرنفل، الفلفل، الزعتر، خشب الصندل، الباتشولي، المسك، نجيل الهند، طحلب السنديان، خشب الورد البرازيلي، خشب الأرز، إكليل الجبل.,"أزرق,فضي",,,,,,
توري بورش توري بورش,553,توري برش,رجالي,عطور,رومانسية,زهرية,100 مل,,أو دو برفيوم,"Bergamot, Mandarin, and Lemon","Neroli, Pink Peppercorn, and Peony","Patchouli Heart, Vetiver Heart, and Cedar wood Oil'",,البرغموت، اليوسفي، الليمون، زهر البرتقال، الفلفل الوردي، الفاوانيا، قلب الباتشولي، زيت خشب الأرز.,"ذهبي,وردي",,,,,,
إيبوك جينار أو دو برفيوم,185,إيبوك,رجالي,عطور,جذابة,شرقية,50 مل,,أو دو برفيوم,الليمون، الزنجبيل، الجريب فروت,الأناناس الحلو، الهيل، القرفة,نجيل الهند، اللابدانوم، طحلب البلوط,,,,,,,,,
خلطات سلانج,575,خلطات,رجالي/نسائي,عطور,متألقة,شرقية,65 مل,,أو دو برفيوم,الورد,العود,الباتشولي,,الورد، الباتشولي، العود,,,,,,,
آتيلير كولون كليمنتين كاليفورنيا أو دو كولون,890,آتيلير كولون,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,2016,أو دو كولون,توت العرعر، الماندرين، كلمنتين,الفلفل، اليانسون النجمي، الريحان,أخشاب الصندل، نجيل الهند، السرو,,,,,,,,,
جيرلان باتشولي باريس أو دو برفيوم,2046,جيرلان,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2024,أو دو برفيوم,الألدهيدات,السوسن,الفانيليا، العنبر، الباتشولي,,,,,,,,,
بولغري امنيا جولدن سيترين أو دو تواليت,492,بولغاري,نسائي,عطور,حسية,زهرية,65 مل,2020,أو دو تواليت,الماندرين الصقلي، الخوخ الأبيض,الياسمين، الإيلنغ,الأرز، البنزوين,,,,,,,,,
كريد أبسولو أفينتوس أو دو برفيوم - 75 مل,1987,كريد,رجالي,عطور,ديناميكية,حمضية,75 مل,2023,أو دو برفيوم,الكشمش الأسود، البرجموت، الجريب فروت,الهيل، سيترون، القرفة، الزنجبيل,نجيل الهند، الباتشولي، الفلفل الوردي,,,,,,,,,
اورا فرانس برنسس أو دو برفيوم,250,اورا فرانس,نسائي,عطور,,,100 مل,,أو دو برفيوم,,,,,,,,,,,,
بوديسيا ذا فيكتوريوس فورتيتيد أو دو برفيوم,1650,بوديسيا,نسائي,عطور,حسية,زهرية,100 مل,2018,أو دو برفيوم,الكشمش الأسود، البرجموت، الزنبق,الإيلنغ، الياسمين، الجاردينيا,الأخشاب,,,,,,,,,
جورو  إيجو أو دو برفيوم,579,جورو,رجالي/نسائي,عطور,حيوية,فاكهية,100 مل,2017,أو دو برفيوم,نفحات الفواكه,يلانج يلانج، الياسمين,العنبر، المسك، الباتشولي.,,,,,,,,,
آثال فوربيدن أو دو برفيوم,170,آثال,نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,,,,,,,,,,,,
عطور لا ديفانس نو 4 أو دو برفيوم,230,عطور لا ديفانس,رجالي/نسائي,عطور,متألقة,عود,50 مل,,أو دو برفيوم,العود,العنبر,أخشاب الصندل، المسك,,,,,,,,,
ساينت هيلير برايفت ريد أو دو برفيوم,138,ساينت هيلير,رجالي,عطور,حيوية,فاكهية,100 مل,2018,أو دو برفيوم,الليمون,التفاح الأخضر وروائح البحر,العنبر، نجيل الهند، تونكا,,الليمون، التفاح الأخضر وروائح البحر، العنبر، نجيل الهند، تونكا.,,,,,,,
كارون لوري فاجابوندي أو دو كولون,1050,كارون,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,2022,أو دو كولون,الزنجبيل، البرجموت، الليمون الأخضر,التبغ,الجلود، العسل، نجيل الهند، أخشاب الغاياك، الباتشولي,,,,,,,,,
مارلي كارليسيلي,1662,بارفيوم دو مارلي,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,125 مل,2015,أو دو برفيوم,البرغموت، اليوسفي,البنفسج، الياسمين,خشب الغاياك، الباتشولي، الحبهان,,البرغموت، اليوسفي، البنفسج، الياسمين، خشب الغاياك، الباتشولي، الحبهان,أسود,,,,,,
سلفاتوري فيراغامو أومو كاجوال لايف,384,سلفاتوري فيراغامو,رجالي,عطور,جذابة,أروماتيك,50 مل,2017,أو دو تواليت,أوراق البنفسج، الليمون، هيل,القهوة، الغرنوقي، أمبروكسيد,أخشاب الكشمير، خشب الأرز الأبيض، المسك الأبيض,,أوراق البنفسج، الليمون، هيل، القهوة، الغرنوقي، أمبروكسيد، أخشاب الكشمير، خشب الأرز الأبيض، المسك الأبيض,فضي,,,,,,
جاد خوخ بيتش ريفرز أوف شاينا أو دو برفيوم,249,جاد,رجالي/نسائي,عطور,حيوية,فاكهية,100 مل,,أو دو برفيوم,,,,,الخوخ,,,,,,,
الفريد فيرن إمرالد ايلي,192,الفريد فيرن,رجالي/نسائي,عطور,متألقة,شرقية خشبية,80 مل,-,أو دو برفيوم,الفلفل الوردي، الهيل، الزعفران، جوزة الطيب,إبرة الراعي، المر,العود، البتشولي، الجلد، الستيراكس، البخور.,,الفلفل الوردي، الهيل، الزعفران، جوزة الطيب، إبرة الراعي، المر، العود، البتشولي، الجلد، الستيراكس، البخور.,,,,,,,
سويس أربيان أريج الشيلة أو دو برفيوم,383,سويس أربيان,نسائي,عطور,حسية,زهرية,100 مل,,أو دو برفيوم,الزعفران، الفلفل الأسود، أوراق القرنفل,الورد التركي المطلق، إبرة الراعي، العود,الجلود، العنبر، الباتشولي، المسك، الفانيليا، أخشاب الصندل,,,,,,,,,
شاكيرا آيم روك أو دو تواليت,141,شاكيرا,نسائي,عطور,حسية,زهرية,50 مل,2017,أو دو تواليت,الفلفل الأسود، البرجموت، التفاح الأخضر,الفريزيا، الياسمين، ياسمين سمباك,الباتشولي، الأخشاب، الفانيليا,,,,,,,,,
لا بونير بوا دي نوي أو دو برفيوم,90,لا بونير,نسائي,عطور,حيوية,فاكهية,100 مل,2024,أو دو برفيوم,البرتقال، البرجموت,الورد، الياسمين,المسك الأبيض، نجيل الهند، الفانيليا، الباتشولي,,,,,,,,,
عطور داتورا مقنوليا أو دو برفيوم,282,عطور داتورا,رجالي/نسائي,عطور,رومانسية,زهرية,80 مل,,أو دو برفيوم,,,,,السوسن، الياسمين,,,,,,,
قوتشي جيلتي لوف اديشين أو دو تواليت,469,قوتشي,رجالي,عطور,حيوية,أروماتيك,50 مل,2020,أو دو تواليت,الفلفل الوردي، الماندرين البرتقالي، الزنجبيل، البرتقال الذهبي,إبرة الراعي، إكليل الجبل، اللافندر,الباتشولي، البنزين، نجيل الهند,,,,,,,,,
عربيات متيم أو دو برفيوم,53,عربيات,رجالي/نسائي,عطور,حسية,زهرية,100 مل,,أو دو برفيوم,أزهار جوز الهند، الفريزيا، زنبق الوادي,الأخشاب، الياسمين,الباتشولي، رذاذ بحري، نوتات جورماند,,,,,,,,,
فيلهلم بارفيوميري فلور بيرلسك أو دو برفيوم,1190,فيلهلم بارفيوميري,نسائي,عطور,حسية,زهرية,100 مل,2015,أو دو برفيوم,الجاردينيا، الياسمين,أخشاب الصندل,العنبر,,كحول، عطر، أكوا (ماء)، ألفا إيزوميثيل أيونون، كحول بنزيل، بنزيل بنزوات، بنزيل ساليسيلات، قرفة، كحول سيناميل، سيترال، سيترونيلول، يوجينول، فارنيسول، جيرانيول، هيكسيل سينامال، هيدروكسي سيترونيلال، ليمونين، لينالول.,,,,,,,
ميزون مايسى فانيلا إلكسير إديشن بلانشي أو دو برفيوم,779,ميزون مايسى,رجالي/نسائي,عطور,متألقة,عربية,100 مل,2020,أو دو برفيوم,الليمون، السكر، الورد التركي، الورد البلغاري,الحلقوم، المسك الأبيض,أخشاب الأرز، الفانيليا,,دينات الكحول. (كحول SD 39-C)، عطر (عطر)، أكوا (ماء)، جيرانيول، سيترونيلول، ليمونين، لينالول، سيترال,,,,,,,
أحمد للعطور مسك آند روزيس أو دو برفيوم,100,أحمد للعطور,رجالي/نسائي,عطور,راقية,زهرية شرقية,75 مل,,أو دو برفيوم,البطيخ، التفاح الأخضر، التوت، الفاونيا,جوز الهند، الورد,عود الصندل، عود الأرز، المسك الأبيض,,,,,,,,,
إيجو بريمير أو دو برفيوم,531,إيجو,نسائي,عطور,ديناميكية,,80 مل,,أو دو برفيوم,,,,,,,,,,,,
كوتش دريمز - 90 مل,414,كوتش,نسائي,عطور,حيوية,فاكهية,90مل,2020,أو دو برفيوم,عصير الكمثرى، البرتقال,البرتقال، الجاردينيا، زهور الصبار,شجرة جوشوا، أمبروكسان,,عصير الكمثرى، البرتقال، الجاردينيا، زهور الصبار، شجرة جوشوا، أمبروكسان,,,,,,,
ليكويد اماجينيرز ديزرت سواف أو دو برفيوم,630,ليكويد اماجينيرز,رجالي/نسائي,عطور,رومانسية,زهرية,50 مل,2018,أو دو برفيوم,,,,,الورد، البرتقال، الأرز، الهيل، السمسم، زهور البرتقال، البلح,,,,,,,
أنجري بيردز ريد بيرد أو دو تواليت,22,أنجري بيردز,أطفال,عطور,محبة للطبيعة,فاكهية,200 مل,,أو دو تواليت,الفواكه,اليوسفي,,,,,,,,,,
سويس أربيان كنزي,98,سويس أربيان,رجالي/نسائي,عطور,حيوية,فاكهية,100 مل,,أو دو برفيوم,البرغموت والليمون والبرتقال,رمان ، عنب ، مشمش ، تين,الفانيليا والمسك والعنبر,,البرغموت والليمون والبرتقال، رمان ، عنب ، مشمش ، تين، الفانيليا والمسك والعنبر,,,,,,,
إليزابيث أردن وايت تي ماندرين بلوسوم,231,إليزابيث أردن,نسائي,عطور,راقية,شرقية خشبية,100 مل,,أو دو تواليت,الفواكه الإستوائية، البرجموت، الليمون، الماندرين,الشاي الأبيض، الياسمين، النيرولي، زهور البرتقال,أمبروكسان، أخشاب الأرز، المسك,,الفواكه الإستوائية، البرجموت، الليمون، الماندرين، الشاي الأبيض، الياسمين، النيرولي، زهور البرتقال، أمبروكسان، أخشاب الأرز، المسك,,,,,,,
جو مالون هونيساكل أند دفانا أو دو كولون,899,جو مالون,نسائي,عطور,حسية,زهرية,100 مل,2018,أو دو كولون,دافانا,زهر العسل، الورد,الطحلب,,,,,,,,,
شانيل N° 19,699,شانيل,نسائي,عطور,رومانسية,زهرية,100 مل,1971,أو دو تواليت,ملاحظات خضراء، البرغموت، زهر البرتقال,ر البرتقال، السوسن، نرجس، الورد، زنبق الوادي، يلانج,نجيل الهند، خشب الصندل، طحلب البلوط، جلد.,,ملاحظات خضراء، البرغموت، زهر البرتقال، السوسن، نرجس، الورد، زنبق الوادي، يلانج، نجيل الهند، خشب الصندل، طحلب البلوط، جلد.,,,,,,,
عود الأصالة العربية عنبر جيوفاني برفيوم,345,عود الأصالة العربية,رجالي/نسائي,عطور,جذابة,شرقية,50 مل,,برفيوم مركز,,,,,العنبر، أخشاب الصندل، الهيل.,,,,,,,
سيراي ميراج أو دو برفيوم,198,سيراي,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,,,,,المسك، الفانيليا، العنبر، زهور البرتقال.,,,,,,,
كارون بور أن أوم دو كارون سبورت,424,كارون,رجالي,عطور,حيوية,حمضية,125 مل,2015,أو دو تواليت,الحمضيات، ليمون فيربينا، الجريب فروت، الماندرين، اللافندر,الزنجبيل، جوزة الطيب، خشب الأرز,المسك الأبيض، البنزوين، العنبر، حبوب التونكا,,الحمضيات، ليمون فيربينا، الجريب فروت، الماندرين، اللافندر، الزنجبيل، جوزة الطيب، خشب الأرز، المسك الأبيض، البنزوين، العنبر، حبوب التونكا,"أخضر,فضي",,,,,,
قوتشي وينرز سبرينج أو دو برفيوم,1550,قوتشي,رجالي/نسائي,عطور,حسية,زهرية,100 مل,2019,أو دو برفيوم,,,,,الفلفل، المسك، الميموزا,,,,,,,
جو مالون أورانج بلوسوم أو دو كولون,899,جو مالون,رجالي/نسائي,عطور,حسية,زهرية,100 مل,2003,أو دو كولون,زهور اليوسفي,الزنبق المائي، الأرجواني، زهور البرتقال,نجيل الهند، السوسن,,زهور اليوسفي، الزنبق المائي، الأرجواني، زهور البرتقال، نجيل الهند، السوسن,,,,,,,
أصغر علي فضايل أو دو برفيوم,265,أصغر علي,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,,أو دو برفيوم,اللافاندين، الهيل، الزعفران,الورد، إبرة الراعي، زهور البرتقال,العود، أخشاب الصندل، العنبر,,,,,,,,,
فلوريس لندن تشيبريس أو دو تواليت,899,فلوريس لندن,رجالي/نسائي,عطور,رومانسية,زهرية,100 مل,2017,أو دو تواليت,زهر البرتقال، البرغموت، الليمون، البرتقال الحلو,الياسمين، يلانغ يلانغ، الورد، الأوسمانثوس,الفانيليا، المسك، الباتشولي، العنبر,,,,,,,,,
أبيركرومبي آند فيتش أوثنتك مومنت أو دو برفيوم,338,أبيركرومبي آند فيتش,نسائي,عطور,حسية,زهرية,100 مل,2019,أو دو برفيوم,الفواكه الحمراء، البرتقال، الراوند,الياسمين، الورد,الجلود، المسك، الباتشولي، أخشاب الأرز، أمبروكس,,,,,,,,,
كارولينا هيريرا في آي بي 212 بلاك,525,كارولينا هيريرا,رجالي,عطور,حيوية,أروماتيك,100 مل,2017,أو دو برفيوم,الأفسنتين، اليانسون، الشمر,الخزامى,المسك، الفانيليا السوداء,,الأفسنتين، اليانسون، الشمر، الخزامى، المسك، الفانيليا السوداء,أسود,,,,,,
جيرلان شاليمار سوفلي,690,جيرلان,نسائي,عطور,راقية,زهرية شرقية,90مل,2019,,براغموت، ليمون، برتقال ماندرين.,ياسمين سامباك، زهر البرتقال.,الفانيليا، فانيليا، مِسك أبيض,,برغموت، ليمون، برتقال ماندرين، ياسمين سامباك، زهر البرتقال، فانيليا، فانيليا، مِسك أبيض,,,,,,,
فنتين إسينس إيلان أو دو برفيوم,129,فنتين,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,,,,,التوابل، الأخشاب، الزهور البيضاء، العنبر.,,,,,,,
أنجلينا أنجلينا جولي الثور أو دو برفيوم,99,أنجلينا,نسائي,عطور,,,75 مل,,أو دو برفيوم,,,,,,,,,,,,
جاد جرو فانيلا ماريلاين أو دو برفيوم,249,جاد,رجالي/نسائي,عطور,حيوية,شرقية ناعمة,100 مل,,أو دو برفيوم,,,,,الفانيليا، الكمثرى، الفريزيا، المسك,,,,,,,
القاسم للعود كامبي برفيوم,239,القاسم للعود,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,برفيوم مركز,الهيل، القرفة,الزعفران، حبوب التونكا,التبغ، الفانيليا، الباتشولي,,,,,,,,,
كارل لاغرفيلد كلاكسيك,282,كارل لاغرفيلد,رجالي,عطور,راقية,شرقية خشبية,100 مل,1978,أو دو تواليت,الألدهيدات، روائح عشبية، نبات الطرخون، المريمية، البارغموت، الليمون,خشب الصندل، الباتشولي، جذور السوسن، الياسمين، أخشاب الأرز، التبغ، الورد,العنبر، التونكا، المسك، الفانيليا، طحلب البلوط,,الألدهيدات، روائح عشبية، نبات الطرخون، المريمية، البارغموت، الليمون، خشب الصندل، الباتشولي، جذور السوسن، الياسمين، أخشاب الأرز، التبغ، الورد، العنبر، التونكا، المسك، الفانيليا، طحلب البلوط,برتقالي,,,,,,
بوليس جنتيل مان أو دو تواليت,196,بوليس,رجالي,عطور,ديناميكية,حمضية,100 مل,,أو دو تواليت,البرجموت، الليمون، الجريب فروت، الماندرين، الهيل، الفلفل,إبرة الراعي، القرفة، الزعفران، التبغ الأشقر، السفرجل,الباتشولي، نجيل الهند، أخشاب الأرز، أخشاب الصندل، طحلب البلوط، حبوب التونكا، المسك,,,,,,,,,
زهور هيرتيج بليند أونر أو دو برفيوم,199,زهور,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,,أو دو برفيوم,الجريب فروت,الورد,المسك، أخشاب الصندل,,,,,,,,,
شانيل لو اكسكلوسيفس دو شانيل 1932 أو دو برفيوم,2437,شانيل,نسائي,عطور,حسية,زهرية,200 مل,2013,أو دو برفيوم,البرجموت، النيرولي، الألدهيدات,القرنفل، الورد، الأرجواني، الإيلنغ، الياسمين,البخور، الكومارين، الفانيليا، خشب الصندل، أبوبوناكس، نجيل الهند، مسك مالو، المسك، جذور السوسن,,كحول، عطر، أكوا، ماء، لينالول، ليمونين، سيترونيلول، ألفا إيزوميثيل أيونون، هيدروكسي سيترونيلال، هيكسيل سينامال، يوجينول، سيترال، جيرانيول، بنزيل بنزوات، كحول سيناميل، بنزيل ساليسيلات، كومارين، كحول بنزيل.,,,,,,,
فيلفت كولون فيلفت بلوم أو دو برفيوم,355,فيلفت كولون,رجالي/نسائي,عطور,,فاكهية,100 مل,,أو دو برفيوم,البرغموت، الفراولة، التوت البري,ياسمين، بنفسج، باتشولي، خشب صندل,مسك، فانيلا، عنبر,,,,,,,,,
عود ومسك بيبي بودر أو دو برفيوم,99,عود ومسك,رجالي/نسائي,عطور,حسية,زهرية,80 مل,,أو دو برفيوم,,,,,,,,,,,,
فيلي آند فيل دات مي إن داون تاون,1052,فيلي أند فيل,رجالي/نسائي,عطور,حيوية,فاكهية,100 مل,2010,أو دو برفيوم,تفاح ، زعفران ، خوخ,البرقوق ، زهر البرتقال ، الياسمين,العود ، خشب الصندل ، الفانيليا,,،تفاح ، زعفران ، خوخ ،البرقوق ، زهر البرتقال ، الياسمين ،العود ، خشب الصندل ، الفانيليا,أسود,,,,,,
عطور لافيشلي Z84 أو دو برفيوم,78,عطور لافيشلي,رجالي,عطور,جذابة,شرقية,50 مل,,أو دو برفيوم,,,,,ليمون أمالفي، البرتقال، الأرز الفرجيني، البرجموت، العود.,,,,,,,
مانسيرا اكوا وود أو دو برفيوم - 120 مل,497,مانسيرا,رجالي,عطور,راقية,شرقية ناعمة,120 مل,2020,أو دو برفيوم,الحمضيات، الكمثرى,أوراق الباتشولي، الورد التركي، الزنجبيل الهندي,المسك الأبيض، البخور، العنبر، الجاوي,,,,,,,,,
أمور عود سانتال ديس انديس,797,امورعود,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2016,أو دو برفيوم,الأفسنتين ، مجموعة البخور الطازجة,أشجار الكاري ، خشب الأرز الصيني ، النرجس ، الورد التركي,ميسور خشب الصندل ، الجلد المغربي ، المسك ، نجيل الهند,,الأفسنتين ، مجموعة البخور الطازجة ، أشجار الكاري ، خشب الأرز الصيني ، النرجس ، الورد التركي ، ميسور خشب الصندل ، الجلد المغربي ، المسك ، نجيل الهند,"أسود,ذهبي",,,,,,
مودون لوميا إكستريت دو برفيوم,399,موودون,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2022,إكستريت دو برفيوم,البرجموت، توت العليق، الإيلنغ,الياسمين، الإيلنغ، زهور البرتقال,المسك، العنبر، الحرير، أوراق الباردي، الباتشولي,,,,,,,,,
المها العربي الصابون أو دو برفيوم,270,المها العربي,رجالي/نسائي,عطور,حسية,زهرية,50 مل,,أو دو برفيوم,,,,,,,,,,,,
مارينا دو بوربون كريستال رويال,473,مارينا دو بوربون,نسائي,عطور,رومانسية,زهرية,100 مل,2016,أو دو برفيوم,الكشمش الأسود، الكمثرى، البرغموت,الياسمين، البنفسج، زنبق الوادي,المكونات الخشبية، المسك، خشب الصندل.,,الكشمش الأسود، الكمثرى، البرغموت، الياسمين، البنفسج، زنبق الوادي، المكونات الخشبية، المسك، خشب الصندل.,ذهبي,,,,,,
مونتال مانجو مانجا,383,مونتال,رجالي/نسائي,عطور,حيوية,فاكهية,100 مل,2010,أو دو برفيوم,مانجو، برتقال حلو,ياسمين سامباك، يلنغ يلانغ، زهر البرتقال,عود مغربي، نجيل الهند، خشب أرز، طحلب البلوط,,مانجو، برتقال حلو، ياسمين سامباك، يلنغ يلانغ، زهر البرتقال، عود مغربي، نجيل الهند، خشب أرز، طحلب البلوط,,,,,,,
راما روز ميم ليذر برفيوم,99,راما روز,رجالي/نسائي,عطور,كلاسيكية,جلدية,100 مل,,برفيوم مركز,الفلفل الوردي,السوسن,الجلود، العنبر,,,,,,,,,
لاليك لاليك,186,لاليك,نسائي,عطور,رومانسية,زهرية,50 مل,,أو دو تواليت,الورد، الياسمين، زهور الحائط الحار، السوسن، البودرة,أوراق الكشمش الاسود، التوت البري، الكمثرى,خشب الصندل، بربون الفانيليا، المسك الأبيض، العنبر,,الورد، الياسمين، زهور الحائط الحار، السوسن، البودرة، أوراق الكشمش الاسود، التوت البري، الكمثرى، خشب الصندل، بربون الفانيليا، المسك الأبيض، العنبر,,,,,,,
فيفر واو انسايت أو دو برفيوم,150,فيفر,رجالي/نسائي,عطور,جذابة,زهرية شرقية,75 مل,,أو دو برفيوم,القرنفل، الفلفل الوردي، زهرة البرتقال,الكستناء، الأخشاب، العرعر,الفانيليا، بلسم البيرو، أخشاب الكشمير,,,,,,,,,
بولغاري أليجرا ماجنيفاينج بيرجموت أو دو برفيوم,817,بولغاري,نسائي,عطور,ديناميكية,حمضية,40 مل,2021,أو دو برفيوم,,,,,دينات الكحول، كحول إس دي 39-ج، أكوا، ماء، عطر، ليمونين، لينالول، إيثيل هيكسيل ميثوكسيسينامات، سيترال، بوتيل ميثوكسيديبنزويل ميثان، إيثيل هكسيل ساليسيلات، سيترونيلول، جيرانيول، فارنيسول.,,,,,,,
ألون سولو أو دو برفيوم,88,ألون,رجالي,عطور,حسية,زهرية,100 مل,,أو دو برفيوم,,,,,الخزامى، البرغموت، أوراق الأناناس، إبرة الراعي، التفاح، الورد، حبوب التونكا، خشب الصندل,,,,,,,
ذا عود أبسليوت أو دو برفيوم,275,ذا عود,رجالي/نسائي,عطور,حسية,زهرية,100 مل,,أو دو برفيوم,,,,,الياسمين، خشب العود، العنبر، الباتشولي,,,,,,,
العبق الفاخر غيد أو دو برفيوم,199,العبق الفاخر,نسائي,عطور,جذابة,شرقية,50 مل,,أو دو برفيوم,,,,,الهيل، القهوة، الياسمين، بلسم التنوب، الفانيليا، دهن العود اللاوسي.,,,,,,,
جورجيو ارماني سي باسيوني إنتنس,587,جورجيو ارماني,نسائي,عطور,حيوية,فاكهية,50 مل,2020,أو دو برفيوم,الكشمش الأسود,الياسمين,الباتشولي، المسك، الفانيليا، خشب الأرز,,الكشمش الأسود,,,,,,,
مونكلير ليديز بور فيم أو دو برفيوم,365,مونكلير,نسائي,عطور,حسية,زهرية,60 مل,2021,أو دو برفيوم,البرجموت، الثلج، البودرة,ياسمين سمباك، حجر الدم,العنبر، أخشاب الأرز، أخشاب الصندل، الفانيليا,,,,,,,,,
مارك جاكوبس ديكيدنس,293,مارك جاكوبس,نسائي,عطور,رومانسية,خشبية,30 مل,2015,أو دو برفيوم,البرقوق الإيطالي، الزعفران,الورد البلغاري، ياسمين، زهر السوسن,خشب بردي، نجيل الهند، عنبر,,البرقوق الإيطالي، الزعفران، الورد البلغاري، ياسمين، زهر السوسن، العنبر، نجيل الهند، البردي,,,,,,,
مونتال سيلفر عود,391,مونتال,رجالي,عطور,حيوية,أروماتيك,100 مل,2008,أو دو برفيوم,,,,,الخزامي، زنابق الوادي، إكليل الجبل، الليمون، أخشاب الأرز، زهور إبره الراعي، التونكا، العود، نجيل الهند.,,,,,,,
دولتشي آند غابانا ذا ون للرجال أو دو برفيوم,493,دولتشي آند غابانا,رجالي,عطور,محبة للطبيعة,خشبية,100 مل,2015,أو دو برفيوم,جريب فروت، كزبرة، ريحان,حب الهال، زنجبيل، زهر البرتقال,خشب الأرز، عنبر، تبغ,عطور,الكزبرة، الريحان، الجريب فروت، الزنجبيل، زهر البرتقال، الهيل، التبغ، العنبر الحسي، خشب الأرز.,,,,,,,
لافيماكين لاود اوف نايت أو دو برفيوم,184,لافيماكين,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,,أو دو برفيوم,,,,,البرجموت، الورد، حبوب التونكا، الفانيليا، الباتشولي، الأخشاب.,,,,,,,
جلوريوس روم كلاود 7 أو دو برفيوم,159,جلوريوس روم,رجالي/نسائي,عطور,جذابة,شرقية,50 مل,,أو دو برفيوم,,,,,الأناناس، الكشمش الأسود، أخشاب الباتولا، العنبر، الفانيليا، الماء، الكحول.,,,,,,,
ديفيد بيكهام ريسبكت,106,دايفد بيكهام,رجالي,عطور,محبة للطبيعة,خشبية,90مل,2017,أو دو تواليت,البطيخ، الفلفل الوردي، الجريب فروت,الهيل، الريحان، اللافندر,نجيل الهند، طحلب البلوط، الباتشولي,,البطيخ، الفلفل الوردي، الجريب فروت، الهيل، الريحان، اللافندر، نجيل الهند، طحلب البلوط، الباتشولي,,,,,,,
نارسيسو رودريغز فلور مسك,326,نارسيسو رودريغز,نسائي,عطور,أنثوية,زهرية,30 مل,2017,أو دو برفيوم,زهور، الفلفل,مسك,باتشولي، عنبر,,زهور، الفلفل، مسك، باتشولي، عنبر,,,,,,,
إكس نيلو سيتيزن اكس أو دو برفيوم,1495,إكس نيلو,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,2017,أو دو برفيوم,الفلفل الأبيض، المصطكي,السوسن,أخشاب العنبر، اللبان، المسك,,,,,,,,,
ذا عود إِن لوڤ أو دو برفيوم,250,ذا عود,رجالي/نسائي,عطور,حسية,زهرية,100 مل,,أو دو برفيوم,,,,,الأناناس، زهور السوسن، الياسمين، الفلفل الوردي، المسك، الباتشولي، العنبر، الفانيليا,,,,,,,
روز وعود مورال,128,روز وعود,رجالي/نسائي,عطور,متألقة,زهرية شرقية,50 مل,,أو دو برفيوم,,,,,جوزة الطيب، ورد الجوري، برجموت، مسك,,,,,,,
