الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,سنة الإصدار,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,Category,المكونات,اللون,النوتات العُليا,النوتات المتوسطة,النوتات القاعدية,التركيبة,نوع المكياج,مفتاح البحث
بييرا كاترا جوليا روبنسون ليذر أو دو برفيوم,77,بييرا كاترا,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,,,,,الجلود، التوابل، الأزهار، الفل، الجلد الأسود، الطحالب البيضاء,,,,,,,
عمان لوكجري أوفر دوز أو دو برفيوم,943,عمان لوكجري,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,2020,أو دو برفيوم,الليمون، البرتقال، البرجموت، الفلفل الأسود، الزعفران، الهيل، الجريب فروت، اليوسفي,الياسمين، السوسن، الزنبق، زهور البرتقال، المريمية، التين,أخشاب الأرز، المسك، خشب الصندل، نجيل الهند، العنبر، التونكا، الباتشولي، البرقوق,,,,,,,,,
هوجو بوس سيليكشن,272,هيوجو بوس,رجالي,عطور,حيوية,أروماتيك,90مل,2006,أو دو تواليت,,,,,جريب فروت، خشب الأرز، الباتشولي، نجيل الهند,أزرق,,,,,,
العربية للعود توين سيلفر,198,العربية للعود,رجالي/نسائي,عطور,رومانسية,زهرية,100 مل,,أو دو برفيوم,(1): البرتقال والليمون والبرغموت. (2): البرغموت والليمون واللافندر,(1): الفواكه. (2): التفاح الأحمر والورد والمسك,(1): المسك والفانيليا والعنبر. (2): حبوب التونكا وخشب الصندل,,البرتقال، الليمون، البرغموت، البرغموت، اللافندر، الفواكه، التفاح الأحمر، الورد، المسك، الفانيليا، العنبر، حبوب التونكا وخشب الصندل.,,,,,,,
ديور سانتال نوير أو دو برفيوم,1608,ديور,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,125 مل,2018,أو دو برفيوم,,,,,أخشاب الصندل، بذور العنبر، الورد التركي,,,,,,,
دي إل برفيوم ويسبي أو دو برفيوم,632,دي إل برفيوم,رجالي/نسائي,عطور,جذابة,زهرية شرقية,50 مل,,أو دو برفيوم,البرجموت، الفلفل الوردي، التفاح، القرنفل، القرفة، جوزة الطيب,الإيلنغ، الهيل، زهور البرتقال، بخور مريم,الفانيليا، أخشاب الصندل، حبوب التونكا، الباتشولي، أخشاب السدر، العود,,,,,,,,,
الدخيل للعود بشرى,92,الدخيل للعود,رجالي/نسائي,عطور,متألقة,زهرية,50 مل,,أو دو برفيوم,,,,,ورود طبيعية,بنفسجي,,,,,,
سيراي لاكسوري أو دو برفيوم,159,سيراي,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,الجريب فروت، البرجموت، الليمون,الورد، القرفة، الياسمين,أخشاب الباتولا، المسك، طحلب البلوط,,,,,,,,,
جيمي تشو جيمي تشو مان آيس - 30 مل,182,جيمي شو,رجالي,عطور,حيوية,أروماتيك,30 مل,2017,أو دو تواليت,اليوسفي، البارغموت، حمضيات,نجيل الهند، الباتشولي، أخشاب الأرز، التفاح,المسك، الطحالب، أمبروكسان,,اليوسفي، البارغموت، حمضيات، نجيل الهند، الباتشولي، أخشاب الأرز، التفاح، المسك، الطحالب، أمبروكسان,,,,,,,
مانسيرا روزعود آند مسك,628,مانسيرا,نسائي,عطور,أنثوية,زهرية,120 مل,2011,أو دو برفيوم,توابل حارة,زعفران، روز، ياسمين,حشب الصندل، العود المكثف، المسك الأبيض,عطور العود,روز، عود، خشب الصندل، مسك، زعفران، ياسمين، توابل حارة,,,,,,,
بوتلد ساكسيس أو دو برفيوم,399,بوتلد,نسائي,عطور,حيوية,أروماتيك,60 مل,,أو دو برفيوم,اللافندر، البرجموت، الماندرين,زهر البرتقال، شاي الياسمين، الياسمين,المسك، الفانيليا، أحجار العنبر,,,,,,,,,
الماجد للعود بودري فوشيا أو دو برفيوم,121,الماجد للعود,رجالي/نسائي,عطور,حيوية,فاكهية,95 مل,,أو دو برفيوم,يوسفي,زهرة المانغوليا، زنبق الوادي,"Abair Al Powder, Rice wood",,,,,,,,,
لو كوفينت ميزون دو بارفيوم أنوري أو دو برفيوم,343,لو كوفينت ميزون دو بارفيوم,رجالي/نسائي,عطور,رومانسية,زهرية,100 مل,2019,أو دو برفيوم,الهيل,الماغنوليا,أخشاب دريفت,,,,,,,,,
أمادو بيرسويسف إنتينس أو دو برفيوم,840,أمادو,رجالي/نسائي,عطور,حسية,زهرية,75 مل,2020,أو دو برفيوم,الحمضيات، الرذاذ البحري، التفاح الأخضر,زهور البرتقال، الزهور البيضاء، السوسن,الأخشاب، أخشاب الصندل، العنبر,,,,,,,,,
جنجل بلاتينيوم أو دو برفيوم,134,درعه,رجالي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,الأناناس، البرجموت، الفلفل الأحمر,أوراق النعناع، الهيل، الزنجبيل,الكشمير، العنبر، حبوب التونكا,,,,,,,,,
